[2024-04-06T22:17:24.003+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [queued]>
[2024-04-06T22:17:24.009+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [queued]>
[2024-04-06T22:17:24.011+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-06T22:17:24.019+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-06 22:13:29.335285+00:00
[2024-04-06T22:17:24.025+0000] {standard_task_runner.py:60} INFO - Started process 186 to run task
[2024-04-06T22:17:24.028+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-06T22:13:29.335285+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp_tvo9_3a']
[2024-04-06T22:17:24.032+0000] {standard_task_runner.py:88} INFO - Job 6: Subtask convert_bill_files
[2024-04-06T22:17:24.069+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [running]> on host 4c93e7b77bb2
[2024-04-06T22:17:24.126+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T22:13:29.335285+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-06T22:13:29.335285+00:00'
[2024-04-06T22:17:24.143+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.json
[2024-04-06T22:17:24.148+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json
[2024-04-06T22:17:24.152+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.json
[2024-04-06T22:17:24.159+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.json
[2024-04-06T22:17:24.163+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.json
[2024-04-06T22:17:24.169+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.json
[2024-04-06T22:17:24.173+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.json
[2024-04-06T22:17:24.177+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.json
[2024-04-06T22:17:24.185+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres17.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres17.json
[2024-04-06T22:17:24.189+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres119.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres119.json
[2024-04-06T22:17:24.192+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres125.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres125.json
[2024-04-06T22:17:24.198+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres109.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres109.json
