[2024-04-06T22:23:38.558+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [queued]>
[2024-04-06T22:23:38.564+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [queued]>
[2024-04-06T22:23:38.564+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-06T22:23:38.572+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-06 22:13:29.335285+00:00
[2024-04-06T22:23:38.577+0000] {standard_task_runner.py:60} INFO - Started process 312 to run task
[2024-04-06T22:23:38.581+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-06T22:13:29.335285+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpn_enqouz']
[2024-04-06T22:23:38.584+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask convert_bill_files
[2024-04-06T22:23:38.622+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:13:29.335285+00:00 [running]> on host 4c93e7b77bb2
[2024-04-06T22:23:38.687+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T22:13:29.335285+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-06T22:13:29.335285+00:00'
[2024-04-06T22:23:38.695+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.json
[2024-04-06T22:23:38.699+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json
[2024-04-06T22:23:38.702+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.json
[2024-04-06T22:23:38.709+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.json
[2024-04-06T22:23:38.712+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.json
[2024-04-06T22:23:38.715+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.json
[2024-04-06T22:23:38.719+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.json
[2024-04-06T22:23:38.724+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.json
