[2024-04-06T22:43:47.173+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:42:02.466351+00:00 [queued]>
[2024-04-06T22:43:47.178+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:42:02.466351+00:00 [queued]>
[2024-04-06T22:43:47.178+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-06T22:43:47.188+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-06 22:42:02.466351+00:00
[2024-04-06T22:43:47.194+0000] {standard_task_runner.py:60} INFO - Started process 619 to run task
[2024-04-06T22:43:47.197+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-06T22:42:02.466351+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpa85jt3xs']
[2024-04-06T22:43:47.200+0000] {standard_task_runner.py:88} INFO - Job 10: Subtask convert_bill_files
[2024-04-06T22:43:47.232+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-06T22:42:02.466351+00:00 [running]> on host 4c93e7b77bb2
[2024-04-06T22:43:47.289+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T22:42:02.466351+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-06T22:42:02.466351+00:00'
[2024-04-06T22:43:47.296+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.json
[2024-04-06T22:43:47.300+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json
[2024-04-06T22:43:47.303+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.json
[2024-04-06T22:43:47.307+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.json
[2024-04-06T22:43:47.314+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.json
[2024-04-06T22:43:47.318+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.json
[2024-04-06T22:43:47.322+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.json
[2024-04-06T22:43:47.325+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.json
