[2024-04-06T22:44:55.599+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-06T22:42:02.466351+00:00 [queued]>
[2024-04-06T22:44:55.603+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-06T22:42:02.466351+00:00 [queued]>
[2024-04-06T22:44:55.604+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-06T22:44:55.611+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-06 22:42:02.466351+00:00
[2024-04-06T22:44:55.618+0000] {standard_task_runner.py:60} INFO - Started process 636 to run task
[2024-04-06T22:44:55.621+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-06T22:42:02.466351+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp0fmrlpll']
[2024-04-06T22:44:55.624+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask upload_bills_to_gcs
[2024-04-06T22:44:55.663+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-06T22:42:02.466351+00:00 [running]> on host 4c93e7b77bb2
[2024-04-06T22:44:55.717+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-06T22:42:02.466351+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-06T22:42:02.466351+00:00'
[2024-04-06T22:44:56.492+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres64.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres64.json
[2024-04-06T22:44:56.661+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres33.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres33.json
[2024-04-06T22:44:57.036+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres25.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres25.json
[2024-04-06T22:44:57.297+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres72.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres72.json
[2024-04-06T22:44:57.512+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres116.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres116.json
[2024-04-06T22:44:57.764+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres100.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres100.json
[2024-04-06T22:44:58.021+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres48.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres48.json
[2024-04-06T22:44:58.268+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres120.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres120.json
[2024-04-06T22:44:58.466+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-06T22:44:58.639+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres87.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres87.json
[2024-04-06T22:44:58.818+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres29.json
[2024-04-06T22:44:59.063+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres91.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres91.json
[2024-04-06T22:44:59.435+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres52.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres52.json
[2024-04-06T22:44:59.615+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-06T22:44:59.894+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres13.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres13.json
[2024-04-06T22:45:00.078+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres12.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres12.json
[2024-04-06T22:45:00.263+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-06T22:45:00.435+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres53.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres53.json
[2024-04-06T22:45:00.596+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres90.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres90.json
[2024-04-06T22:45:01.068+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres28.json
[2024-04-06T22:45:01.380+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres121.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres121.json
[2024-04-06T22:45:01.625+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres69.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres69.json
[2024-04-06T22:45:01.866+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres86.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres86.json
[2024-04-06T22:45:02.037+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres101.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres101.json
[2024-04-06T22:45:02.212+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres49.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres49.json
[2024-04-06T22:45:02.389+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres117.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres117.json
[2024-04-06T22:45:02.594+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres73.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres73.json
[2024-04-06T22:45:02.848+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres1.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres1.json
[2024-04-06T22:45:03.021+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-06T22:45:03.328+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres32.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres32.json
[2024-04-06T22:45:03.601+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres65.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres65.json
