[2024-04-07T18:36:30.757+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-07T18:34:54.226347+00:00 [queued]>
[2024-04-07T18:36:30.763+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-07T18:34:54.226347+00:00 [queued]>
[2024-04-07T18:36:30.764+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-07T18:36:30.772+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-07 18:34:54.226347+00:00
[2024-04-07T18:36:30.777+0000] {standard_task_runner.py:60} INFO - Started process 180 to run task
[2024-04-07T18:36:30.780+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-07T18:34:54.226347+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp19oes3ho']
[2024-04-07T18:36:30.782+0000] {standard_task_runner.py:88} INFO - Job 23: Subtask convert_bill_files
[2024-04-07T18:36:30.814+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-07T18:34:54.226347+00:00 [running]> on host 0f09a5d0e7c6
[2024-04-07T18:36:30.861+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-07T18:34:54.226347+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-07T18:34:54.226347+00:00'
[2024-04-07T18:36:30.867+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres15.json
[2024-04-07T18:36:30.870+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json
[2024-04-07T18:36:30.872+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres28.json
[2024-04-07T18:36:30.875+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres14.json
[2024-04-07T18:36:30.878+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres126.json
[2024-04-07T18:36:30.880+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres124.json
[2024-04-07T18:36:30.882+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres118.json
[2024-04-07T18:36:30.885+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres16.json
