[2024-04-07T18:37:37.244+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-07T18:34:54.226347+00:00 [queued]>
[2024-04-07T18:37:37.248+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-07T18:34:54.226347+00:00 [queued]>
[2024-04-07T18:37:37.248+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-07T18:37:37.255+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-07 18:34:54.226347+00:00
[2024-04-07T18:37:37.260+0000] {standard_task_runner.py:60} INFO - Started process 197 to run task
[2024-04-07T18:37:37.263+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-07T18:34:54.226347+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp2pevmkwj']
[2024-04-07T18:37:37.266+0000] {standard_task_runner.py:88} INFO - Job 24: Subtask upload_bills_to_gcs
[2024-04-07T18:37:37.298+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-07T18:34:54.226347+00:00 [running]> on host 0f09a5d0e7c6
[2024-04-07T18:37:37.349+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-07T18:34:54.226347+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-07T18:34:54.226347+00:00'
[2024-04-07T18:37:38.031+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres64.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres64.json
[2024-04-07T18:37:38.279+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres33.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres33.json
[2024-04-07T18:37:38.490+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres25.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres25.json
[2024-04-07T18:37:38.671+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres72.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres72.json
[2024-04-07T18:37:38.850+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres116.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres116.json
[2024-04-07T18:37:39.013+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres100.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres100.json
[2024-04-07T18:37:39.188+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres48.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres48.json
[2024-04-07T18:37:39.359+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres120.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres120.json
[2024-04-07T18:37:39.525+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-07T18:37:39.692+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres87.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres87.json
[2024-04-07T18:37:39.859+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres29.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres29.json
[2024-04-07T18:37:40.038+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres91.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres91.json
[2024-04-07T18:37:40.202+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres52.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres52.json
[2024-04-07T18:37:40.464+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-07T18:37:40.638+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres13.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres13.json
[2024-04-07T18:37:40.862+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres12.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres12.json
[2024-04-07T18:37:41.029+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
