[2024-04-08T02:02:24.073+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:00:46.341975+00:00 [queued]>
[2024-04-08T02:02:24.077+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:00:46.341975+00:00 [queued]>
[2024-04-08T02:02:24.078+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-08T02:02:24.084+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-08 02:00:46.341975+00:00
[2024-04-08T02:02:24.089+0000] {standard_task_runner.py:60} INFO - Started process 4710 to run task
[2024-04-08T02:02:24.093+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-08T02:00:46.341975+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpdd1ci4sh']
[2024-04-08T02:02:24.095+0000] {standard_task_runner.py:88} INFO - Job 28: Subtask upload_bills_to_gcs
[2024-04-08T02:02:24.125+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:00:46.341975+00:00 [running]> on host 429434a1f011
[2024-04-08T02:02:24.172+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-08T02:00:46.341975+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-08T02:00:46.341975+00:00'
[2024-04-08T02:02:25.117+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-08T02:02:25.326+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-08T02:02:25.508+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-08T02:02:25.679+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-08T02:02:25.854+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-08T02:02:26.035+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-08T02:02:26.221+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-08T02:02:26.466+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-08T02:02:26.639+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-08T02:02:26.848+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-08T02:02:27.018+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-08T02:02:27.199+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres27.json
[2024-04-08T02:02:27.367+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-08T02:02:27.549+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres30.json
[2024-04-08T02:02:27.745+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres26.json
[2024-04-08T02:02:27.922+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-08T02:02:28.098+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres7.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres7.json
[2024-04-08T02:02:28.274+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres30.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres30.json
