[2024-04-08T02:13:26.170+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:11:45.405245+00:00 [queued]>
[2024-04-08T02:13:26.174+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:11:45.405245+00:00 [queued]>
[2024-04-08T02:13:26.175+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-08T02:13:26.181+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-08 02:11:45.405245+00:00
[2024-04-08T02:13:26.187+0000] {standard_task_runner.py:60} INFO - Started process 4911 to run task
[2024-04-08T02:13:26.190+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-08T02:11:45.405245+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpasi3zjyb']
[2024-04-08T02:13:26.194+0000] {standard_task_runner.py:88} INFO - Job 34: Subtask upload_bills_to_gcs
[2024-04-08T02:13:26.223+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-08T02:11:45.405245+00:00 [running]> on host 429434a1f011
[2024-04-08T02:13:26.271+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-08T02:11:45.405245+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-08T02:11:45.405245+00:00'
[2024-04-08T02:13:26.872+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-08T02:13:27.092+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-08T02:13:27.325+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-08T02:13:27.505+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-08T02:13:27.673+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-08T02:13:27.850+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-08T02:13:28.021+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-08T02:13:28.199+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-08T02:13:28.376+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-08T02:13:28.580+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-08T02:13:28.751+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-08T02:13:28.933+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres27.json
[2024-04-08T02:13:29.110+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-08T02:13:29.296+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres30.json
[2024-04-08T02:13:29.458+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres26.json
[2024-04-08T02:13:29.630+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres71.json
