[2024-04-09T02:38:33.108+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-09T02:30:17.292595+00:00 [queued]>
[2024-04-09T02:38:33.112+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-09T02:30:17.292595+00:00 [queued]>
[2024-04-09T02:38:33.112+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-09T02:38:33.118+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-09 02:30:17.292595+00:00
[2024-04-09T02:38:33.122+0000] {standard_task_runner.py:60} INFO - Started process 363 to run task
[2024-04-09T02:38:33.125+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-09T02:30:17.292595+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpasc0av85']
[2024-04-09T02:38:33.127+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask upload_bills_to_gcs
[2024-04-09T02:38:33.154+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-09T02:30:17.292595+00:00 [running]> on host 895231e7bebc
[2024-04-09T02:38:33.194+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-09T02:30:17.292595+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-09T02:30:17.292595+00:00'
[2024-04-09T02:38:34.354+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-09T02:38:35.120+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-09T02:38:35.739+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-09T02:38:36.391+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-09T02:38:37.008+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-09T02:38:37.631+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-09T02:38:38.352+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-09T02:38:39.037+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
