[2024-04-10T00:39:33.869+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T00:36:19.141018+00:00 [queued]>
[2024-04-10T00:39:33.877+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T00:36:19.141018+00:00 [queued]>
[2024-04-10T00:39:33.878+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-10T00:39:33.895+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-10 00:36:19.141018+00:00
[2024-04-10T00:39:33.948+0000] {standard_task_runner.py:60} INFO - Started process 3353 to run task
[2024-04-10T00:39:33.958+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-10T00:36:19.141018+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp3czq_0_2']
[2024-04-10T00:39:33.965+0000] {standard_task_runner.py:88} INFO - Job 20: Subtask convert_bill_files
[2024-04-10T00:39:34.102+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T00:36:19.141018+00:00 [running]> on host f811dc6f69ec
[2024-04-10T00:39:34.202+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T00:36:19.141018+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T00:36:19.141018+00:00'
[2024-04-10T00:39:34.232+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T00:39:34.264+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json
[2024-04-10T00:39:34.292+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json
[2024-04-10T00:39:34.328+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T00:39:34.381+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json
[2024-04-10T00:39:34.408+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json
[2024-04-10T00:39:34.429+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json
[2024-04-10T00:39:34.591+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T00:39:34.687+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T00:39:34.775+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.json
[2024-04-10T00:39:34.800+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T00:39:34.845+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T00:39:34.982+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.json
[2024-04-10T00:39:35.005+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.json
[2024-04-10T00:39:35.211+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.json
[2024-04-10T00:39:35.224+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json
[2024-04-10T00:39:35.405+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres9.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres9.json
[2024-04-10T00:39:35.440+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres3.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres3.json
[2024-04-10T00:39:35.447+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres25.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres25.json
[2024-04-10T00:39:35.460+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres30.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres30.json
[2024-04-10T00:39:35.480+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres21.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres21.json
[2024-04-10T00:39:35.510+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres7.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres7.json
[2024-04-10T00:39:35.539+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres86.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres86.json
[2024-04-10T00:39:35.571+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres57.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres57.json
[2024-04-10T00:39:35.587+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hconres/BILLSTATUS-118hconres40.xml to /opt/***/dags/data/hconres/BILLSTATUS-118hconres40.json
[2024-04-10T00:39:35.821+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s3250.xml to /opt/***/dags/data/s/BILLSTATUS-118s3250.json
[2024-04-10T00:39:37.100+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s788.xml to /opt/***/dags/data/s/BILLSTATUS-118s788.json
[2024-04-10T00:39:39.766+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s316.xml to /opt/***/dags/data/s/BILLSTATUS-118s316.json
[2024-04-10T00:39:40.246+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s3427.xml to /opt/***/dags/data/s/BILLSTATUS-118s3427.json
[2024-04-10T00:39:40.371+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s475.xml to /opt/***/dags/data/s/BILLSTATUS-118s475.json
[2024-04-10T00:39:40.488+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s111.xml to /opt/***/dags/data/s/BILLSTATUS-118s111.json
[2024-04-10T00:39:41.092+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s112.xml to /opt/***/dags/data/s/BILLSTATUS-118s112.json
[2024-04-10T00:39:44.115+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s326.xml to /opt/***/dags/data/s/BILLSTATUS-118s326.json
[2024-04-10T00:39:44.340+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s870.xml to /opt/***/dags/data/s/BILLSTATUS-118s870.json
[2024-04-10T00:39:45.840+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s3853.xml to /opt/***/dags/data/s/BILLSTATUS-118s3853.json
[2024-04-10T00:39:46.261+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s2226.xml to /opt/***/dags/data/s/BILLSTATUS-118s2226.json
[2024-04-10T00:39:46.421+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/s/BILLSTATUS-118s619.xml to /opt/***/dags/data/s/BILLSTATUS-118s619.json
[2024-04-10T00:39:48.725+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/sres/BILLSTATUS-118sres13.xml to /opt/***/dags/data/sres/BILLSTATUS-118sres13.json
[2024-04-10T00:39:49.227+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/sres/BILLSTATUS-118sres417.xml to /opt/***/dags/data/sres/BILLSTATUS-118sres417.json
[2024-04-10T00:39:50.195+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/sres/BILLSTATUS-118sres21.xml to /opt/***/dags/data/sres/BILLSTATUS-118sres21.json
[2024-04-10T00:39:51.042+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/sres/BILLSTATUS-118sres504.xml to /opt/***/dags/data/sres/BILLSTATUS-118sres504.json
[2024-04-10T00:39:51.648+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr2766.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr2766.json
[2024-04-10T00:39:51.725+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr2799.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr2799.json
[2024-04-10T00:39:51.778+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr7024.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr7024.json
[2024-04-10T00:39:52.170+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr2.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr2.json
[2024-04-10T00:39:52.206+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr542.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr542.json
[2024-04-10T00:39:52.415+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr185.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr185.json
[2024-04-10T00:39:52.428+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr5961.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr5961.json
[2024-04-10T00:39:52.470+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr813.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr813.json
[2024-04-10T00:39:52.512+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr4470.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr4470.json
[2024-04-10T00:39:52.568+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr6918.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr6918.json
[2024-04-10T00:39:52.599+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr1093.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr1093.json
[2024-04-10T00:39:52.612+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr3848.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr3848.json
[2024-04-10T00:39:52.723+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hr/BILLSTATUS-118hr1734.xml to /opt/***/dags/data/hr/BILLSTATUS-118hr1734.json
