[2024-04-10T04:46:10.578+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T04:27:13.993045+00:00 [queued]>
[2024-04-10T04:46:10.586+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T04:27:13.993045+00:00 [queued]>
[2024-04-10T04:46:10.588+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-10T04:46:10.600+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-10 04:27:13.993045+00:00
[2024-04-10T04:46:10.607+0000] {standard_task_runner.py:60} INFO - Started process 410 to run task
[2024-04-10T04:46:10.613+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-10T04:27:13.993045+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpe2t23y31']
[2024-04-10T04:46:10.616+0000] {standard_task_runner.py:88} INFO - Job 15: Subtask upload_bills_to_gcs
[2024-04-10T04:46:10.707+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T04:27:13.993045+00:00 [running]> on host 82ce950841ce
[2024-04-10T04:46:10.788+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T04:27:13.993045+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T04:27:13.993045+00:00'
[2024-04-10T04:46:11.792+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T04:46:12.212+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T04:46:12.644+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T04:46:13.108+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-10T04:46:13.554+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T04:46:13.994+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T04:46:14.436+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T04:46:14.859+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-10T04:46:15.290+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-10T04:46:15.711+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-10T04:46:16.122+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-10T04:46:16.547+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres27.json
[2024-04-10T04:46:17.010+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-10T04:46:17.484+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres30.json
[2024-04-10T04:46:17.928+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres26.json
[2024-04-10T04:46:18.387+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-10T04:46:18.826+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres7.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres7.json
[2024-04-10T04:46:19.297+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres30.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres30.json
[2024-04-10T04:46:19.720+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres57.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres57.json
[2024-04-10T04:46:20.146+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres40.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres40.json
[2024-04-10T04:46:20.599+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres21.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres21.json
[2024-04-10T04:46:21.067+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres3.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres3.json
[2024-04-10T04:46:21.544+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres86.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres86.json
[2024-04-10T04:46:21.983+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres9.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres9.json
[2024-04-10T04:46:22.399+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres25.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres25.json
[2024-04-10T04:46:22.826+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s870.json to gs://congress_data/bills/s/BILLSTATUS-118s870.json
[2024-04-10T04:46:23.349+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s3427.json to gs://congress_data/bills/s/BILLSTATUS-118s3427.json
[2024-04-10T04:46:23.787+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s112.json to gs://congress_data/bills/s/BILLSTATUS-118s112.json
[2024-04-10T04:46:24.247+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s3250.json to gs://congress_data/bills/s/BILLSTATUS-118s3250.json
[2024-04-10T04:46:24.694+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s2226.json to gs://congress_data/bills/s/BILLSTATUS-118s2226.json
[2024-04-10T04:46:25.119+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s788.json to gs://congress_data/bills/s/BILLSTATUS-118s788.json
[2024-04-10T04:46:25.534+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s475.json to gs://congress_data/bills/s/BILLSTATUS-118s475.json
[2024-04-10T04:46:25.982+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s619.json to gs://congress_data/bills/s/BILLSTATUS-118s619.json
[2024-04-10T04:46:26.410+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s316.json to gs://congress_data/bills/s/BILLSTATUS-118s316.json
[2024-04-10T04:46:26.891+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s3853.json to gs://congress_data/bills/s/BILLSTATUS-118s3853.json
[2024-04-10T04:46:27.319+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s111.json to gs://congress_data/bills/s/BILLSTATUS-118s111.json
[2024-04-10T04:46:27.836+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s326.json to gs://congress_data/bills/s/BILLSTATUS-118s326.json
[2024-04-10T04:46:28.345+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/sres/BILLSTATUS-118sres13.json to gs://congress_data/bills/sres/BILLSTATUS-118sres13.json
[2024-04-10T04:46:28.821+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/sres/BILLSTATUS-118sres21.json to gs://congress_data/bills/sres/BILLSTATUS-118sres21.json
[2024-04-10T04:46:29.313+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/sres/BILLSTATUS-118sres504.json to gs://congress_data/bills/sres/BILLSTATUS-118sres504.json
[2024-04-10T04:46:29.740+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/sres/BILLSTATUS-118sres417.json to gs://congress_data/bills/sres/BILLSTATUS-118sres417.json
[2024-04-10T04:46:30.203+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hr/BILLSTATUS-118hr1339.json to gs://congress_data/bills/hr/BILLSTATUS-118hr1339.json
[2024-04-10T04:46:30.622+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hr/BILLSTATUS-118hr2796.json to gs://congress_data/bills/hr/BILLSTATUS-118hr2796.json
[2024-04-10T04:46:31.104+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hr/BILLSTATUS-118hr2811.json to gs://congress_data/bills/hr/BILLSTATUS-118hr2811.json
[2024-04-10T04:46:31.539+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hr/BILLSTATUS-118hr23.json to gs://congress_data/bills/hr/BILLSTATUS-118hr23.json
[2024-04-10T04:46:32.011+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hr/BILLSTATUS-118hr406.json to gs://congress_data/bills/hr/BILLSTATUS-118hr406.json
