[2024-04-10T20:13:39.660+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:13:39.682+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:13:39.683+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-10T20:13:39.700+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-10 19:57:53.334319+00:00
[2024-04-10T20:13:39.736+0000] {standard_task_runner.py:60} INFO - Started process 1509 to run task
[2024-04-10T20:13:39.744+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-10T19:57:53.334319+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpwso8yydb']
[2024-04-10T20:13:39.751+0000] {standard_task_runner.py:88} INFO - Job 36: Subtask convert_bill_files
[2024-04-10T20:13:39.868+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:57:53.334319+00:00 [running]> on host 3ad97e665188
[2024-04-10T20:13:40.056+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T19:57:53.334319+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T19:57:53.334319+00:00'
[2024-04-10T20:13:40.305+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T20:13:40.322+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-10T20:13:40.348+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-10T20:13:40.369+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T20:13:40.382+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-10T20:13:40.401+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-10T20:13:40.418+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-10T20:13:40.497+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T20:13:40.520+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T20:13:40.552+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-10T20:13:40.580+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T20:13:40.598+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T20:13:40.681+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres26.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres26.json
[2024-04-10T20:13:40.701+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres27.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres27.json
