[2024-04-10T20:00:47.033+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:00:47.047+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:00:47.048+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-10T20:00:47.058+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-10 19:57:53.334319+00:00
[2024-04-10T20:00:47.083+0000] {standard_task_runner.py:60} INFO - Started process 1228 to run task
[2024-04-10T20:00:47.089+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-10T19:57:53.334319+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpb20pyymo']
[2024-04-10T20:00:47.097+0000] {standard_task_runner.py:88} INFO - Job 30: Subtask upload_bills_to_gcs
[2024-04-10T20:00:47.165+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [running]> on host 3ad97e665188
[2024-04-10T20:00:47.243+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T19:57:53.334319+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T19:57:53.334319+00:00'
[2024-04-10T20:00:48.270+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T20:00:48.717+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T20:00:49.157+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T20:00:49.580+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-10T20:00:50.031+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T20:00:50.464+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T20:00:50.931+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T20:00:51.414+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
