[2024-04-10T20:15:03.256+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:15:03.262+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [queued]>
[2024-04-10T20:15:03.262+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-10T20:15:03.271+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-04-10 19:57:53.334319+00:00
[2024-04-10T20:15:03.279+0000] {standard_task_runner.py:60} INFO - Started process 1529 to run task
[2024-04-10T20:15:03.290+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'manual__2024-04-10T19:57:53.334319+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp0i_l7my1']
[2024-04-10T20:15:03.297+0000] {standard_task_runner.py:88} INFO - Job 38: Subtask upload_bills_to_gcs
[2024-04-10T20:15:03.354+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs manual__2024-04-10T19:57:53.334319+00:00 [running]> on host 3ad97e665188
[2024-04-10T20:15:03.417+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T19:57:53.334319+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T19:57:53.334319+00:00'
[2024-04-10T20:15:04.480+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T20:15:04.927+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T20:15:05.360+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T20:15:05.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-10T20:15:06.223+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T20:15:06.704+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T20:15:07.148+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T20:15:07.585+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
