[2024-04-11T04:14:55.421+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-11T04:13:26.714701+00:00 [queued]>
[2024-04-11T04:14:55.426+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-11T04:13:26.714701+00:00 [queued]>
[2024-04-11T04:14:55.426+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-11T04:14:55.433+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-11 04:13:26.714701+00:00
[2024-04-11T04:14:55.443+0000] {standard_task_runner.py:60} INFO - Started process 226 to run task
[2024-04-11T04:14:55.446+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-11T04:13:26.714701+00:00', '--job-id', '44', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpijz5az6f']
[2024-04-11T04:14:55.450+0000] {standard_task_runner.py:88} INFO - Job 44: Subtask convert_bill_files
[2024-04-11T04:14:55.483+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-11T04:13:26.714701+00:00 [running]> on host 48a386cc3b53
[2024-04-11T04:14:55.543+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-11T04:13:26.714701+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-11T04:13:26.714701+00:00'
[2024-04-11T04:14:55.574+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-11T04:14:55.581+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-11T04:14:55.590+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-11T04:14:55.653+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-11T04:14:55.673+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-11T04:14:55.686+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-11T04:14:55.701+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-11T04:14:55.714+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json
