[2024-04-12T17:16:26.092+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-12T17:14:18.064138+00:00 [queued]>
[2024-04-12T17:16:26.098+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-12T17:14:18.064138+00:00 [queued]>
[2024-04-12T17:16:26.098+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-12T17:16:26.106+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-12 17:14:18.064138+00:00
[2024-04-12T17:16:26.112+0000] {standard_task_runner.py:60} INFO - Started process 2800 to run task
[2024-04-12T17:16:26.116+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-12T17:14:18.064138+00:00', '--job-id', '80', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmppp8t5kx9']
[2024-04-12T17:16:26.119+0000] {standard_task_runner.py:88} INFO - Job 80: Subtask convert_bill_files
[2024-04-12T17:16:26.197+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-12T17:14:18.064138+00:00 [running]> on host f0ccf278d1a7
[2024-04-12T17:16:26.267+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-12T17:14:18.064138+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-12T17:14:18.064138+00:00'
[2024-04-12T17:16:26.299+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-12T17:16:26.305+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-12T17:16:26.313+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-12T17:16:26.324+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-12T17:16:26.340+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-12T17:16:26.345+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-12T17:16:26.355+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-12T17:16:26.378+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-12T17:16:26.386+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json
