[2024-04-12T17:16:56.400+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-12T17:14:18.064138+00:00 [queued]>
[2024-04-12T17:16:56.406+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-12T17:14:18.064138+00:00 [queued]>
[2024-04-12T17:16:56.406+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-12T17:16:56.416+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-04-12 17:14:18.064138+00:00
[2024-04-12T17:16:56.423+0000] {standard_task_runner.py:60} INFO - Started process 2813 to run task
[2024-04-12T17:16:56.434+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'manual__2024-04-12T17:14:18.064138+00:00', '--job-id', '82', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmprs4fmnc4']
[2024-04-12T17:16:56.438+0000] {standard_task_runner.py:88} INFO - Job 82: Subtask upload_bill_status_to_gcs
[2024-04-12T17:16:56.476+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-12T17:14:18.064138+00:00 [running]> on host f0ccf278d1a7
[2024-04-12T17:16:56.557+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-12T17:14:18.064138+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-12T17:14:18.064138+00:00'
[2024-04-12T17:16:57.903+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres68.json
[2024-04-12T17:16:58.351+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres44.json
[2024-04-12T17:16:58.808+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres45.json
[2024-04-12T17:16:59.249+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres24.json
[2024-04-12T17:16:59.755+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres39.json
[2024-04-12T17:17:00.242+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres42.json
[2024-04-12T17:17:00.688+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres74.json
[2024-04-12T17:17:01.137+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres7.json
