[2024-04-14T00:56:00.496+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:56:00.521+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:56:00.550+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-14T00:56:00.572+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-14 00:53:50.098849+00:00
[2024-04-14T00:56:00.636+0000] {standard_task_runner.py:60} INFO - Started process 9403 to run task
[2024-04-14T00:56:00.643+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-14T00:53:50.098849+00:00', '--job-id', '43', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp1qd6mh_b']
[2024-04-14T00:56:00.655+0000] {standard_task_runner.py:88} INFO - Job 43: Subtask convert_bill_files
[2024-04-14T00:56:00.948+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-14T00:53:50.098849+00:00 [running]> on host 08bbc0b56ffc
[2024-04-14T00:56:01.305+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-14T00:53:50.098849+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-14T00:53:50.098849+00:00'
[2024-04-14T00:56:01.637+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-14T00:56:01.691+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-14T00:56:01.811+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-14T00:56:01.992+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-14T00:56:02.080+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-14T00:56:02.106+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-14T00:56:02.220+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-14T00:56:02.349+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-14T00:56:02.372+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-14T00:56:02.445+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-14T00:56:02.472+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.xml to /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json
