[2024-04-14T00:57:15.169+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:57:15.190+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:57:15.191+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-14T00:57:15.210+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-04-14 00:53:50.098849+00:00
[2024-04-14T00:57:15.264+0000] {standard_task_runner.py:60} INFO - Started process 9426 to run task
[2024-04-14T00:57:15.271+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'manual__2024-04-14T00:53:50.098849+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpk0rpht6b']
[2024-04-14T00:57:15.321+0000] {standard_task_runner.py:88} INFO - Job 46: Subtask upload_bill_status_to_gcs
[2024-04-14T00:57:15.664+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [running]> on host 08bbc0b56ffc
[2024-04-14T00:57:15.872+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-14T00:53:50.098849+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-14T00:53:50.098849+00:00'
[2024-04-14T00:57:17.157+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres68.json
[2024-04-14T00:57:17.629+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres44.json
[2024-04-14T00:57:18.129+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres45.json
[2024-04-14T00:57:18.564+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres24.json
[2024-04-14T00:57:19.008+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres39.json
[2024-04-14T00:57:19.464+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres42.json
[2024-04-14T00:57:19.909+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres74.json
[2024-04-14T00:57:20.393+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres7.json
[2024-04-14T00:57:20.841+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres79.json
[2024-04-14T00:57:21.320+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres98.json
[2024-04-14T00:57:21.892+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres70.json
[2024-04-14T00:57:22.406+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres27.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres27.json
[2024-04-14T00:57:22.845+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres88.json
[2024-04-14T00:57:23.297+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres30.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres30.json
[2024-04-14T00:57:23.725+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres26.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres26.json
[2024-04-14T00:57:24.185+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json to gs://congress_data/bill_status/hjres/BILLSTATUS-118hjres71.json
[2024-04-14T00:57:24.625+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres7.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres7.json
[2024-04-14T00:57:25.081+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres30.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres30.json
[2024-04-14T00:57:25.735+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres57.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres57.json
[2024-04-14T00:57:26.277+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres40.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres40.json
[2024-04-14T00:57:26.804+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres21.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres21.json
[2024-04-14T00:57:27.566+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres3.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres3.json
[2024-04-14T00:57:28.137+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres86.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres86.json
[2024-04-14T00:57:28.562+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres9.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres9.json
[2024-04-14T00:57:29.067+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/BILLSTATUS-118hconres25.json to gs://congress_data/bill_status/hconres/BILLSTATUS-118hconres25.json
[2024-04-14T00:57:29.522+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s870.json to gs://congress_data/bill_status/s/BILLSTATUS-118s870.json
[2024-04-14T00:57:29.954+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s3427.json to gs://congress_data/bill_status/s/BILLSTATUS-118s3427.json
[2024-04-14T00:57:30.388+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s112.json to gs://congress_data/bill_status/s/BILLSTATUS-118s112.json
[2024-04-14T00:57:30.804+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s3250.json to gs://congress_data/bill_status/s/BILLSTATUS-118s3250.json
[2024-04-14T00:57:31.218+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s2226.json to gs://congress_data/bill_status/s/BILLSTATUS-118s2226.json
[2024-04-14T00:57:31.650+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s2051.json to gs://congress_data/bill_status/s/BILLSTATUS-118s2051.json
[2024-04-14T00:57:32.077+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s788.json to gs://congress_data/bill_status/s/BILLSTATUS-118s788.json
[2024-04-14T00:57:32.504+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s475.json to gs://congress_data/bill_status/s/BILLSTATUS-118s475.json
[2024-04-14T00:57:32.927+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s619.json to gs://congress_data/bill_status/s/BILLSTATUS-118s619.json
[2024-04-14T00:57:33.374+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s316.json to gs://congress_data/bill_status/s/BILLSTATUS-118s316.json
[2024-04-14T00:57:33.784+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s382.json to gs://congress_data/bill_status/s/BILLSTATUS-118s382.json
[2024-04-14T00:57:34.192+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s3853.json to gs://congress_data/bill_status/s/BILLSTATUS-118s3853.json
[2024-04-14T00:57:34.649+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s111.json to gs://congress_data/bill_status/s/BILLSTATUS-118s111.json
[2024-04-14T00:57:35.096+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/BILLSTATUS-118s326.json to gs://congress_data/bill_status/s/BILLSTATUS-118s326.json
[2024-04-14T00:57:35.577+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/BILLSTATUS-118sres13.json to gs://congress_data/bill_status/sres/BILLSTATUS-118sres13.json
[2024-04-14T00:57:36.037+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/BILLSTATUS-118sres21.json to gs://congress_data/bill_status/sres/BILLSTATUS-118sres21.json
[2024-04-14T00:57:36.466+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sres/BILLSTATUS-118sres504.json to gs://congress_data/bill_status/sres/BILLSTATUS-118sres504.json
