[2024-04-14T00:57:06.964+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_members_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:57:06.990+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_members_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T00:57:07.005+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-14T00:57:07.099+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_members_to_gcs> on 2024-04-14 00:53:50.098849+00:00
[2024-04-14T00:57:07.159+0000] {standard_task_runner.py:60} INFO - Started process 9418 to run task
[2024-04-14T00:57:07.199+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_members_to_gcs', 'manual__2024-04-14T00:53:50.098849+00:00', '--job-id', '44', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpowe_pcau']
[2024-04-14T00:57:07.256+0000] {standard_task_runner.py:88} INFO - Job 44: Subtask upload_members_to_gcs
[2024-04-14T00:57:07.803+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_members_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [running]> on host 08bbc0b56ffc
[2024-04-14T00:57:08.095+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_members_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-14T00:53:50.098849+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-14T00:53:50.098849+00:00'
[2024-04-14T00:57:10.469+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000557.json to gs://congress_data/members/member_L000557.json
[2024-04-14T00:57:11.174+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_A000371.json to gs://congress_data/members/member_A000371.json
[2024-04-14T00:57:12.023+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000813.json to gs://congress_data/members/member_W000813.json
[2024-04-14T00:57:12.920+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000929.json to gs://congress_data/members/member_S000929.json
[2024-04-14T00:57:13.795+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000454.json to gs://congress_data/members/member_F000454.json
[2024-04-14T00:57:14.349+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000555.json to gs://congress_data/members/member_G000555.json
[2024-04-14T00:57:14.844+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000386.json to gs://congress_data/members/member_G000386.json
[2024-04-14T00:57:15.320+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H000601.json to gs://congress_data/members/member_H000601.json
[2024-04-14T00:57:15.792+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001210.json to gs://congress_data/members/member_M001210.json
[2024-04-14T00:57:16.253+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000486.json to gs://congress_data/members/member_R000486.json
[2024-04-14T00:57:16.749+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001282.json to gs://congress_data/members/member_B001282.json
[2024-04-14T00:57:17.312+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000605.json to gs://congress_data/members/member_R000605.json
[2024-04-14T00:57:17.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_Z000018.json to gs://congress_data/members/member_Z000018.json
[2024-04-14T00:57:18.315+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001047.json to gs://congress_data/members/member_H001047.json
[2024-04-14T00:57:18.783+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_O000173.json to gs://congress_data/members/member_O000173.json
[2024-04-14T00:57:19.225+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000148.json to gs://congress_data/members/member_J000148.json
[2024-04-14T00:57:19.665+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B000755.json to gs://congress_data/members/member_B000755.json
[2024-04-14T00:57:20.157+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000376.json to gs://congress_data/members/member_K000376.json
[2024-04-14T00:57:20.628+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001206.json to gs://congress_data/members/member_M001206.json
[2024-04-14T00:57:21.081+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000298.json to gs://congress_data/members/member_J000298.json
[2024-04-14T00:57:21.739+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000399.json to gs://congress_data/members/member_K000399.json
[2024-04-14T00:57:22.225+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001116.json to gs://congress_data/members/member_C001116.json
[2024-04-14T00:57:22.670+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000048.json to gs://congress_data/members/member_P000048.json
