[2024-04-14T17:54:54.331+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T17:54:54.339+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [queued]>
[2024-04-14T17:54:54.340+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-14T17:54:54.349+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-04-14 00:53:50.098849+00:00
[2024-04-14T17:54:54.363+0000] {standard_task_runner.py:60} INFO - Started process 9992 to run task
[2024-04-14T17:54:54.370+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'manual__2024-04-14T00:53:50.098849+00:00', '--job-id', '55', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpkuigqldp']
[2024-04-14T17:54:54.377+0000] {standard_task_runner.py:88} INFO - Job 55: Subtask upload_votes_to_gcs
[2024-04-14T17:54:54.416+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-14T00:53:50.098849+00:00 [running]> on host 08bbc0b56ffc
[2024-04-14T17:54:54.479+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-14T00:53:50.098849+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-14T00:53:50.098849+00:00'
[2024-04-14T17:54:55.733+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber109.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber109.json
[2024-04-14T17:54:56.215+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber234.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber234.json
[2024-04-14T17:54:56.647+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber35.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber35.json
[2024-04-14T17:54:57.085+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber187.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber187.json
[2024-04-14T17:54:57.805+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_74_voteNumber335.json to gs://congress_data/votes/HJRES/HJRES_74_voteNumber335.json
[2024-04-14T17:54:58.244+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_24_voteNumber118.json to gs://congress_data/votes/HJRES/HJRES_24_voteNumber118.json
[2024-04-14T17:54:58.727+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber142.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber142.json
[2024-04-14T17:54:59.153+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber135.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber135.json
[2024-04-14T17:54:59.630+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_79_voteNumber337.json to gs://congress_data/votes/HJRES/HJRES_79_voteNumber337.json
[2024-04-14T17:55:00.080+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_26_voteNumber119.json to gs://congress_data/votes/HJRES/HJRES_26_voteNumber119.json
[2024-04-14T17:55:00.510+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_44_voteNumber252.json to gs://congress_data/votes/HJRES/HJRES_44_voteNumber252.json
[2024-04-14T17:55:01.012+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber124.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber124.json
[2024-04-14T17:55:01.698+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber149.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber149.json
[2024-04-14T17:55:02.237+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_7_voteNumber104.json to gs://congress_data/votes/HJRES/HJRES_7_voteNumber104.json
[2024-04-14T17:55:02.932+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber233.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber233.json
[2024-04-14T17:55:03.463+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber134.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber134.json
[2024-04-14T17:55:04.062+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber79.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber79.json
[2024-04-14T17:55:04.522+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber188.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber188.json
[2024-04-14T17:55:04.949+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber126.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber126.json
[2024-04-14T17:55:05.404+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber253.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber253.json
[2024-04-14T17:55:05.832+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_98_voteNumber122.json to gs://congress_data/votes/HJRES/HJRES_98_voteNumber122.json
[2024-04-14T17:55:06.250+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_44_voteNumber171.json to gs://congress_data/votes/HJRES/HJRES_44_voteNumber171.json
[2024-04-14T17:55:06.675+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_26_voteNumber49.json to gs://congress_data/votes/HJRES/HJRES_26_voteNumber49.json
[2024-04-14T17:55:07.102+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber202.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber202.json
[2024-04-14T17:55:07.562+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_70_voteNumber334.json to gs://congress_data/votes/HJRES/HJRES_70_voteNumber334.json
[2024-04-14T17:55:07.984+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber277.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber277.json
[2024-04-14T17:55:08.393+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_88_voteNumber705.json to gs://congress_data/votes/HJRES/HJRES_88_voteNumber705.json
[2024-04-14T17:55:08.819+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_68_voteNumber333.json to gs://congress_data/votes/HJRES/HJRES_68_voteNumber333.json
[2024-04-14T17:55:09.234+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_7_voteNumber80.json to gs://congress_data/votes/HJRES/HJRES_7_voteNumber80.json
[2024-04-14T17:55:09.672+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_71_voteNumber336.json to gs://congress_data/votes/HJRES/HJRES_71_voteNumber336.json
[2024-04-14T17:55:10.117+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_57_voteNumber338.json to gs://congress_data/votes/HCONRES/HCONRES_57_voteNumber338.json
[2024-04-14T17:55:10.563+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_21_voteNumber136.json to gs://congress_data/votes/HCONRES/HCONRES_21_voteNumber136.json
[2024-04-14T17:55:10.999+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_40_voteNumber227.json to gs://congress_data/votes/HCONRES/HCONRES_40_voteNumber227.json
[2024-04-14T17:55:11.452+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_30_voteNumber201.json to gs://congress_data/votes/HCONRES/HCONRES_30_voteNumber201.json
[2024-04-14T17:55:11.936+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_9_voteNumber106.json to gs://congress_data/votes/HCONRES/HCONRES_9_voteNumber106.json
[2024-04-14T17:55:12.353+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_25_voteNumber162.json to gs://congress_data/votes/HCONRES/HCONRES_25_voteNumber162.json
[2024-04-14T17:55:12.829+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/S_316_voteNumber70.json to gs://congress_data/votes/S/S_316_voteNumber70.json
