[2024-04-25T04:00:46.794+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [queued]>
[2024-04-25T04:00:46.804+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [queued]>
[2024-04-25T04:00:46.804+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-25T04:00:46.825+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-04-25 04:00:42.861059+00:00
[2024-04-25T04:00:46.846+0000] {standard_task_runner.py:60} INFO - Started process 70 to run task
[2024-04-25T04:00:46.851+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'manual__2024-04-25T04:00:42.861059+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpbxuam_8l']
[2024-04-25T04:00:46.855+0000] {standard_task_runner.py:88} INFO - Job 20: Subtask upload_bill_status_to_gcs
[2024-04-25T04:00:46.975+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [running]> on host 240fae6178d5
[2024-04-25T04:00:47.135+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-25T04:00:42.861059+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-25T04:00:42.861059+00:00'
[2024-04-25T04:00:48.242+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres68.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres68.json
[2024-04-25T04:00:48.560+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres44.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres44.json
[2024-04-25T04:00:48.860+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres45.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres45.json
[2024-04-25T04:00:49.153+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres24.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres24.json
[2024-04-25T04:00:49.474+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres39.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres39.json
[2024-04-25T04:00:49.789+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres42.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres42.json
[2024-04-25T04:00:50.128+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres74.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres74.json
[2024-04-25T04:00:50.483+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres7.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres7.json
[2024-04-25T04:00:50.795+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres79.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres79.json
[2024-04-25T04:00:51.138+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres98.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres98.json
[2024-04-25T04:00:51.433+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres70.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres70.json
[2024-04-25T04:00:51.746+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres27.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres27.json
[2024-04-25T04:00:52.088+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres88.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres88.json
[2024-04-25T04:00:52.457+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres30.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres30.json
[2024-04-25T04:00:52.764+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres26.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres26.json
[2024-04-25T04:00:53.068+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/BILLSTATUS-118hjres71.json to gs://congress_data_testproject-420401/bill_status/hjres/BILLSTATUS-118hjres71.json
