[2024-04-25T04:00:46.832+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [queued]>
[2024-04-25T04:00:46.851+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [queued]>
[2024-04-25T04:00:46.852+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-25T04:00:46.867+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-04-25 04:00:42.861059+00:00
[2024-04-25T04:00:46.881+0000] {standard_task_runner.py:60} INFO - Started process 72 to run task
[2024-04-25T04:00:46.890+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'manual__2024-04-25T04:00:42.861059+00:00', '--job-id', '22', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpnxkx1b93']
[2024-04-25T04:00:46.913+0000] {standard_task_runner.py:88} INFO - Job 22: Subtask upload_votes_to_gcs
[2024-04-25T04:00:47.040+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-04-25T04:00:42.861059+00:00 [running]> on host 240fae6178d5
[2024-04-25T04:00:47.176+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-04-25T04:00:42.861059+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-25T04:00:42.861059+00:00'
[2024-04-25T04:00:48.242+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber109.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_39_voteNumber109.json
[2024-04-25T04:00:48.615+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber234.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_45_voteNumber234.json
[2024-04-25T04:00:48.922+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber35.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_30_voteNumber35.json
[2024-04-25T04:00:49.283+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber187.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_27_voteNumber187.json
[2024-04-25T04:00:49.672+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_74_voteNumber335.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_74_voteNumber335.json
[2024-04-25T04:00:49.990+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_24_voteNumber118.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_24_voteNumber118.json
[2024-04-25T04:00:50.317+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber142.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_27_voteNumber142.json
[2024-04-25T04:00:50.645+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber135.json to gs://congress_data_testproject-420401/votes/HJRES/HJRES_45_voteNumber135.json
