[2024-06-09T00:38:06.984+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [queued]>
[2024-06-09T00:38:06.989+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [queued]>
[2024-06-09T00:38:06.990+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-09T00:38:06.998+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-09 00:36:07.210722+00:00
[2024-06-09T00:38:07.004+0000] {standard_task_runner.py:60} INFO - Started process 146 to run task
[2024-06-09T00:38:07.008+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'manual__2024-06-09T00:36:07.210722+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp_gklixiq']
[2024-06-09T00:38:07.012+0000] {standard_task_runner.py:88} INFO - Job 26: Subtask upload_bill_status_to_gcs
[2024-06-09T00:38:07.053+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [running]> on host 6b0dcd2da714
[2024-06-09T00:38:07.107+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-09T00:36:07.210722+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-09T00:36:07.210722+00:00'
[2024-06-09T00:38:08.245+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/hjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hjres/hjresbill_status_0.json
[2024-06-09T00:38:08.594+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sconres/sconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sconres/sconresbill_status_0.json
[2024-06-09T00:38:08.955+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/hconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hconres/hconresbill_status_0.json
[2024-06-09T00:38:09.329+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_16.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_16.json
[2024-06-09T00:38:09.691+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_3.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_3.json
[2024-06-09T00:38:10.046+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_2.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_2.json
[2024-06-09T00:38:10.425+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_17.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_17.json
[2024-06-09T00:38:10.762+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_9.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_9.json
[2024-06-09T00:38:11.153+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_10.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_10.json
[2024-06-09T00:38:11.495+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_5.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_5.json
[2024-06-09T00:38:11.847+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_4.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_4.json
[2024-06-09T00:38:12.185+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_11.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_11.json
[2024-06-09T00:38:12.532+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_8.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_8.json
[2024-06-09T00:38:12.909+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_7.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_7.json
[2024-06-09T00:38:13.272+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_12.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_12.json
[2024-06-09T00:38:13.639+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_13.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_13.json
[2024-06-09T00:38:14.007+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_6.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_6.json
[2024-06-09T00:38:14.373+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_1.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_1.json
[2024-06-09T00:38:14.809+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_14.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_14.json
