[2024-06-09T00:41:20.403+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [queued]>
[2024-06-09T00:41:20.407+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [queued]>
[2024-06-09T00:41:20.407+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-09T00:41:20.413+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-06-09 00:36:07.210722+00:00
[2024-06-09T00:41:20.417+0000] {standard_task_runner.py:60} INFO - Started process 204 to run task
[2024-06-09T00:41:20.419+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'manual__2024-06-09T00:36:07.210722+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpvl2o5xpx']
[2024-06-09T00:41:20.422+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask upload_votes_to_gcs
[2024-06-09T00:41:20.449+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-09T00:36:07.210722+00:00 [running]> on host 6b0dcd2da714
[2024-06-09T00:41:20.489+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-09T00:36:07.210722+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-09T00:36:07.210722+00:00'
[2024-06-09T00:41:21.755+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/votes_hjresbill_status_0.json to gs://congress_data_testproject-420401/votes/HJRES/votes_hjresbill_status_0.json
[2024-06-09T00:41:22.075+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SCONRES/votes_sconresbill_status_0.json to gs://congress_data_testproject-420401/votes/SCONRES/votes_sconresbill_status_0.json
[2024-06-09T00:41:22.455+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/votes_hconresbill_status_0.json to gs://congress_data_testproject-420401/votes/HCONRES/votes_hconresbill_status_0.json
[2024-06-09T00:41:22.798+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_3.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_3.json
[2024-06-09T00:41:23.093+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_13.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_13.json
[2024-06-09T00:41:23.413+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_12.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_12.json
[2024-06-09T00:41:23.723+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_2.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_2.json
[2024-06-09T00:41:24.057+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_9.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_9.json
