[2024-06-12T04:06:28.324+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.331+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.332+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-12T04:06:28.341+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-12 04:04:03.467149+00:00
[2024-06-12T04:06:28.348+0000] {standard_task_runner.py:60} INFO - Started process 173 to run task
[2024-06-12T04:06:28.353+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'manual__2024-06-12T04:04:03.467149+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp02fg6xj5']
[2024-06-12T04:06:28.357+0000] {standard_task_runner.py:88} INFO - Job 41: Subtask get_votes_from_downloaded_bills
[2024-06-12T04:06:28.411+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [running]> on host 57ce92a431c8
[2024-06-12T04:06:28.492+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-12T04:04:03.467149+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-12T04:04:03.467149+00:00'
[2024-06-12T04:06:28.562+0000] {get_data.py:98} INFO - Opened bill HJRES 127
[2024-06-12T04:06:28.562+0000] {get_data.py:98} INFO - Opened bill HJRES 133
[2024-06-12T04:06:28.563+0000] {get_data.py:98} INFO - Opened bill HJRES 15
[2024-06-12T04:06:28.564+0000] {get_data.py:98} INFO - Opened bill HJRES 29
[2024-06-12T04:06:28.564+0000] {get_data.py:98} INFO - Opened bill HJRES 28
[2024-06-12T04:06:28.565+0000] {get_data.py:98} INFO - Opened bill HJRES 14
[2024-06-12T04:06:28.565+0000] {get_data.py:98} INFO - Opened bill HJRES 132
[2024-06-12T04:06:28.566+0000] {get_data.py:98} INFO - Opened bill HJRES 126
[2024-06-12T04:06:28.566+0000] {get_data.py:98} INFO - Opened bill HJRES 130
[2024-06-12T04:06:28.567+0000] {get_data.py:98} INFO - Opened bill HJRES 124
[2024-06-12T04:06:28.567+0000] {get_data.py:98} INFO - Opened bill HJRES 118
[2024-06-12T04:06:28.568+0000] {get_data.py:98} INFO - Opened bill HJRES 16
[2024-06-12T04:06:28.569+0000] {get_data.py:98} INFO - Opened bill HJRES 17
[2024-06-12T04:06:28.570+0000] {get_data.py:98} INFO - Opened bill HJRES 119
[2024-06-12T04:06:28.571+0000] {get_data.py:98} INFO - Opened bill HJRES 125
[2024-06-12T04:06:28.572+0000] {get_data.py:98} INFO - Opened bill HJRES 131
[2024-06-12T04:06:28.572+0000] {get_data.py:98} INFO - Opened bill HJRES 109
[2024-06-12T04:06:30.103+0000] {get_data.py:98} INFO - Opened bill HJRES 135
[2024-06-12T04:06:30.104+0000] {get_data.py:98} INFO - Opened bill HJRES 121
[2024-06-12T04:06:30.104+0000] {get_data.py:98} INFO - Opened bill HJRES 13
[2024-06-12T04:06:30.104+0000] {get_data.py:98} INFO - Opened bill HJRES 12
[2024-06-12T04:06:30.105+0000] {get_data.py:98} INFO - Opened bill HJRES 120
[2024-06-12T04:06:30.105+0000] {get_data.py:98} INFO - Opened bill HJRES 134
[2024-06-12T04:06:30.105+0000] {get_data.py:98} INFO - Opened bill HJRES 108
[2024-06-12T04:06:30.105+0000] {get_data.py:98} INFO - Opened bill HJRES 122
[2024-06-12T04:06:30.106+0000] {get_data.py:98} INFO - Opened bill HJRES 136
[2024-06-12T04:06:30.106+0000] {get_data.py:98} INFO - Opened bill HJRES 38
[2024-06-12T04:06:30.106+0000] {get_data.py:98} INFO - Opened bill HJRES 10
[2024-06-12T04:06:30.106+0000] {get_data.py:98} INFO - Opened bill HJRES 11
[2024-06-12T04:06:30.106+0000] {get_data.py:98} INFO - Opened bill HJRES 39
[2024-06-12T04:06:31.589+0000] {get_data.py:98} INFO - Opened bill HJRES 137
[2024-06-12T04:06:31.590+0000] {get_data.py:98} INFO - Opened bill HJRES 123
[2024-06-12T04:06:31.591+0000] {get_data.py:98} INFO - Opened bill HJRES 144
[2024-06-12T04:06:31.591+0000] {get_data.py:98} INFO - Opened bill HJRES 150
[2024-06-12T04:06:31.592+0000] {get_data.py:98} INFO - Opened bill HJRES 7
[2024-06-12T04:06:32.483+0000] {get_data.py:98} INFO - Opened bill HJRES 89
[2024-06-12T04:06:32.484+0000] {get_data.py:98} INFO - Opened bill HJRES 62
[2024-06-12T04:06:32.484+0000] {get_data.py:98} INFO - Opened bill HJRES 76
[2024-06-12T04:06:32.485+0000] {get_data.py:98} INFO - Opened bill HJRES 77
[2024-06-12T04:06:32.485+0000] {get_data.py:98} INFO - Opened bill HJRES 63
[2024-06-12T04:06:32.485+0000] {get_data.py:98} INFO - Opened bill HJRES 88
[2024-06-12T04:06:32.944+0000] {get_data.py:98} INFO - Opened bill HJRES 6
[2024-06-12T04:06:32.945+0000] {get_data.py:98} INFO - Opened bill HJRES 151
[2024-06-12T04:06:32.945+0000] {get_data.py:98} INFO - Opened bill HJRES 145
[2024-06-12T04:06:32.945+0000] {get_data.py:98} INFO - Opened bill HJRES 153
[2024-06-12T04:06:32.945+0000] {get_data.py:98} INFO - Opened bill HJRES 147
[2024-06-12T04:06:32.946+0000] {get_data.py:98} INFO - Opened bill HJRES 4
[2024-06-12T04:06:32.946+0000] {get_data.py:98} INFO - Opened bill HJRES 75
[2024-06-12T04:06:32.946+0000] {get_data.py:98} INFO - Opened bill HJRES 61
