[2024-06-12T04:06:28.325+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.332+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.332+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-12T04:06:28.341+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-12 04:04:03.467149+00:00
[2024-06-12T04:06:28.348+0000] {standard_task_runner.py:60} INFO - Started process 172 to run task
[2024-06-12T04:06:28.353+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'manual__2024-06-12T04:04:03.467149+00:00', '--job-id', '42', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp5a6uxn0t']
[2024-06-12T04:06:28.357+0000] {standard_task_runner.py:88} INFO - Job 42: Subtask upload_bill_status_to_gcs
[2024-06-12T04:06:28.409+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [running]> on host 57ce92a431c8
[2024-06-12T04:06:28.492+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-12T04:04:03.467149+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-12T04:04:03.467149+00:00'
[2024-06-12T04:06:30.187+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/hjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hjres/hjresbill_status_0.json
[2024-06-12T04:06:30.839+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sconres/sconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sconres/sconresbill_status_0.json
[2024-06-12T04:06:31.523+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/hconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hconres/hconresbill_status_0.json
[2024-06-12T04:06:32.140+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_16.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_16.json
[2024-06-12T04:06:32.810+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_3.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_3.json
[2024-06-12T04:06:33.518+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_2.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_2.json
[2024-06-12T04:06:34.180+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_17.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_17.json
[2024-06-12T04:06:34.851+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_9.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_9.json
[2024-06-12T04:06:35.521+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_10.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_10.json
[2024-06-12T04:06:36.149+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_5.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_5.json
[2024-06-12T04:06:36.817+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_4.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_4.json
[2024-06-12T04:06:37.464+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_11.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_11.json
