[2024-06-12T04:09:18.011+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:09:18.015+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:09:18.015+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-12T04:09:18.022+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-06-12 04:04:03.467149+00:00
[2024-06-12T04:09:18.030+0000] {standard_task_runner.py:60} INFO - Started process 224 to run task
[2024-06-12T04:09:18.033+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'manual__2024-06-12T04:04:03.467149+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp1w2werd3']
[2024-06-12T04:09:18.036+0000] {standard_task_runner.py:88} INFO - Job 48: Subtask upload_votes_to_gcs
[2024-06-12T04:09:18.066+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs manual__2024-06-12T04:04:03.467149+00:00 [running]> on host 57ce92a431c8
[2024-06-12T04:09:18.109+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-12T04:04:03.467149+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-12T04:04:03.467149+00:00'
[2024-06-12T04:09:19.722+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/votes_hjresbill_status_0.json to gs://congress_data_testproject-420401/votes/HJRES/votes_hjresbill_status_0.json
[2024-06-12T04:09:20.337+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/SCONRES/votes_sconresbill_status_0.json to gs://congress_data_testproject-420401/votes/SCONRES/votes_sconresbill_status_0.json
[2024-06-12T04:09:20.965+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/votes_hconresbill_status_0.json to gs://congress_data_testproject-420401/votes/HCONRES/votes_hconresbill_status_0.json
[2024-06-12T04:09:21.617+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_3.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_3.json
[2024-06-12T04:09:22.256+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_13.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_13.json
[2024-06-12T04:09:22.821+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_12.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_12.json
[2024-06-12T04:09:23.508+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_2.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_2.json
[2024-06-12T04:09:24.091+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/votes_sbill_status_9.json to gs://congress_data_testproject-420401/votes/S/votes_sbill_status_9.json
