[2024-04-10T04:37:40.768+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-10T04:37:40.775+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bills_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-10T04:37:40.776+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-04-10T04:37:40.785+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bills_to_gcs> on 2024-03-15 00:00:00+00:00
[2024-04-10T04:37:40.799+0000] {standard_task_runner.py:60} INFO - Started process 257 to run task
[2024-04-10T04:37:40.810+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bills_to_gcs', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp7s5v6z0s']
[2024-04-10T04:37:40.835+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask upload_bills_to_gcs
[2024-04-10T04:37:40.901+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bills_to_gcs scheduled__2024-03-15T00:00:00+00:00 [running]> on host 82ce950841ce
[2024-04-10T04:37:41.126+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bills_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-03-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-15T00:00:00+00:00'
[2024-04-10T04:37:42.074+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres68.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres68.json
[2024-04-10T04:37:42.500+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres44.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres44.json
[2024-04-10T04:37:42.938+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres45.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres45.json
[2024-04-10T04:37:43.388+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres24.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres24.json
[2024-04-10T04:37:43.876+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T04:37:44.362+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres42.json
[2024-04-10T04:37:44.841+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T04:37:45.341+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres7.json
[2024-04-10T04:37:45.794+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres79.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres79.json
[2024-04-10T04:37:46.275+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres98.json
[2024-04-10T04:37:46.718+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres70.json
[2024-04-10T04:37:47.186+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres27.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres27.json
[2024-04-10T04:37:47.655+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres88.json
[2024-04-10T04:37:48.094+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres30.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres30.json
[2024-04-10T04:37:48.554+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres26.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres26.json
[2024-04-10T04:37:49.118+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json to gs://congress_data/bills/hjres/BILLSTATUS-118hjres71.json
[2024-04-10T04:37:49.572+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres7.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres7.json
[2024-04-10T04:37:50.016+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres30.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres30.json
[2024-04-10T04:37:50.446+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres57.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres57.json
[2024-04-10T04:37:50.881+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres40.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres40.json
[2024-04-10T04:37:51.311+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres21.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres21.json
[2024-04-10T04:37:51.757+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres3.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres3.json
[2024-04-10T04:37:52.203+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres86.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres86.json
[2024-04-10T04:37:52.639+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres9.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres9.json
[2024-04-10T04:37:53.099+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/hconres/BILLSTATUS-118hconres25.json to gs://congress_data/bills/hconres/BILLSTATUS-118hconres25.json
[2024-04-10T04:37:53.550+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s870.json to gs://congress_data/bills/s/BILLSTATUS-118s870.json
[2024-04-10T04:37:53.979+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s3427.json to gs://congress_data/bills/s/BILLSTATUS-118s3427.json
[2024-04-10T04:37:54.414+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s112.json to gs://congress_data/bills/s/BILLSTATUS-118s112.json
[2024-04-10T04:37:54.882+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s3250.json to gs://congress_data/bills/s/BILLSTATUS-118s3250.json
[2024-04-10T04:37:55.310+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/s/BILLSTATUS-118s2226.json to gs://congress_data/bills/s/BILLSTATUS-118s2226.json
