[2024-04-12T23:18:48.826+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T23:18:48.830+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T23:18:48.830+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-12T23:18:48.835+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-03-15 00:00:00+00:00
[2024-04-12T23:18:48.841+0000] {standard_task_runner.py:60} INFO - Started process 759 to run task
[2024-04-12T23:18:48.844+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpfq8a6czu']
[2024-04-12T23:18:48.846+0000] {standard_task_runner.py:88} INFO - Job 37: Subtask upload_votes_to_gcs
[2024-04-12T23:18:48.877+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [running]> on host 08bbc0b56ffc
[2024-04-12T23:18:48.916+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-03-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-15T00:00:00+00:00'
[2024-04-12T23:18:49.935+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber109.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber109.json
[2024-04-12T23:18:50.438+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber234.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber234.json
[2024-04-12T23:18:50.933+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber35.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber35.json
[2024-04-12T23:18:51.397+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber187.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber187.json
[2024-04-12T23:18:51.870+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_74_voteNumber335.json to gs://congress_data/votes/HJRES/HJRES_74_voteNumber335.json
[2024-04-12T23:18:52.339+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_24_voteNumber118.json to gs://congress_data/votes/HJRES/HJRES_24_voteNumber118.json
[2024-04-12T23:18:52.801+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber142.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber142.json
[2024-04-12T23:18:53.254+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber135.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber135.json
[2024-04-12T23:18:53.714+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_79_voteNumber337.json to gs://congress_data/votes/HJRES/HJRES_79_voteNumber337.json
[2024-04-12T23:18:54.184+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_26_voteNumber119.json to gs://congress_data/votes/HJRES/HJRES_26_voteNumber119.json
[2024-04-12T23:18:54.670+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_44_voteNumber252.json to gs://congress_data/votes/HJRES/HJRES_44_voteNumber252.json
[2024-04-12T23:18:55.144+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber124.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber124.json
[2024-04-12T23:18:55.578+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber149.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber149.json
[2024-04-12T23:18:56.077+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_7_voteNumber104.json to gs://congress_data/votes/HJRES/HJRES_7_voteNumber104.json
[2024-04-12T23:18:56.587+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber233.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber233.json
[2024-04-12T23:18:57.036+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber134.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber134.json
[2024-04-12T23:18:57.482+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber79.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber79.json
[2024-04-12T23:18:57.950+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber188.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber188.json
[2024-04-12T23:18:58.388+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber126.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber126.json
[2024-04-12T23:18:58.857+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber253.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber253.json
