[2024-06-21T03:21:49.892+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-20T00:00:00+00:00 [queued]>
[2024-06-21T03:21:49.904+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-20T00:00:00+00:00 [queued]>
[2024-06-21T03:21:49.905+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-21T03:21:49.928+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-20 00:00:00+00:00
[2024-06-21T03:21:49.941+0000] {standard_task_runner.py:60} INFO - Started process 151 to run task
[2024-06-21T03:21:49.946+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'scheduled__2024-06-20T00:00:00+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpdjtxnej6']
[2024-06-21T03:21:49.953+0000] {standard_task_runner.py:88} INFO - Job 7: Subtask upload_bill_status_to_gcs
[2024-06-21T03:21:50.063+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-20T00:00:00+00:00 [running]> on host 9a2b65edee5d
[2024-06-21T03:21:50.151+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-20T00:00:00+00:00'
[2024-06-21T03:21:51.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/hjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hjres/hjresbill_status_0.json
[2024-06-21T03:21:52.411+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sconres/sconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sconres/sconresbill_status_0.json
[2024-06-21T03:21:53.069+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/hconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hconres/hconresbill_status_0.json
[2024-06-21T03:21:53.737+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_16.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_16.json
[2024-06-21T03:21:54.400+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_3.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_3.json
[2024-06-21T03:21:55.087+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_2.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_2.json
[2024-06-21T03:21:55.760+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_17.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_17.json
[2024-06-21T03:21:56.441+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_9.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_9.json
