[2024-06-26T19:57:03.935+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-25T00:00:00+00:00 [queued]>
[2024-06-26T19:57:03.941+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-25T00:00:00+00:00 [queued]>
[2024-06-26T19:57:03.941+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-26T19:57:03.951+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-25 00:00:00+00:00
[2024-06-26T19:57:03.959+0000] {standard_task_runner.py:60} INFO - Started process 143 to run task
[2024-06-26T19:57:03.964+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'scheduled__2024-06-25T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpuahkbz6u']
[2024-06-26T19:57:03.970+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask upload_bill_status_to_gcs
[2024-06-26T19:57:04.043+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-25T00:00:00+00:00 [running]> on host dc1d14f648c1
[2024-06-26T19:57:04.105+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-25T00:00:00+00:00'
[2024-06-26T19:57:07.450+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/hjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hjres/hjresbill_status_0.json
[2024-06-26T19:57:08.331+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sconres/sconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sconres/sconresbill_status_0.json
[2024-06-26T19:57:09.248+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/hconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hconres/hconresbill_status_0.json
[2024-06-26T19:57:10.144+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_16.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_16.json
[2024-06-26T19:57:10.774+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_3.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_3.json
[2024-06-26T19:57:11.404+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_2.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_2.json
[2024-06-26T19:57:12.011+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_17.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_17.json
[2024-06-26T19:57:12.626+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_9.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_9.json
[2024-06-26T19:57:13.253+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_10.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_10.json
[2024-06-26T19:57:13.827+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_5.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_5.json
[2024-06-26T19:57:14.456+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_4.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_4.json
[2024-06-26T19:57:15.108+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_11.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_11.json
[2024-06-26T19:57:15.767+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_8.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_8.json
[2024-06-26T19:57:16.419+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_7.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_7.json
[2024-06-26T19:57:17.065+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_12.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_12.json
[2024-06-26T19:57:17.711+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_13.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_13.json
[2024-06-26T19:57:18.343+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_6.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_6.json
[2024-06-26T19:57:18.998+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_1.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_1.json
[2024-06-26T19:57:19.627+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_14.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_14.json
[2024-06-26T19:57:20.242+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_18.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_18.json
[2024-06-26T19:57:20.915+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_15.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_15.json
[2024-06-26T19:57:21.556+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_0.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_0.json
