[2024-06-30T19:31:21.251+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-06-30T19:31:21.276+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-29 00:00:00+00:00
[2024-06-30T19:31:21.284+0000] {standard_task_runner.py:60} INFO - Started process 801 to run task
[2024-06-30T19:31:21.288+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-29T00:00:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpaalu6m6k']
[2024-06-30T19:31:21.292+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask get_votes_from_downloaded_bills
[2024-06-30T19:31:21.395+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [running]> on host 321f475acc45
[2024-06-30T19:31:21.531+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-29T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-29T00:00:00+00:00'
[2024-06-30T19:31:21.710+0000] {get_data.py:98} INFO - Opened bill HJRES 127
[2024-06-30T19:31:21.718+0000] {get_data.py:98} INFO - Opened bill HJRES 133
[2024-06-30T19:31:21.728+0000] {get_data.py:98} INFO - Opened bill HJRES 15
[2024-06-30T19:31:21.736+0000] {get_data.py:98} INFO - Opened bill HJRES 29
[2024-06-30T19:31:21.738+0000] {get_data.py:98} INFO - Opened bill HJRES 28
[2024-06-30T19:31:21.741+0000] {get_data.py:98} INFO - Opened bill HJRES 14
[2024-06-30T19:31:21.742+0000] {get_data.py:98} INFO - Opened bill HJRES 132
[2024-06-30T19:31:21.763+0000] {get_data.py:98} INFO - Opened bill HJRES 126
