[2024-07-01T02:41:09.003+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.025+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.028+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-07-01T02:41:09.047+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-30 00:00:00+00:00
[2024-07-01T02:41:09.059+0000] {standard_task_runner.py:60} INFO - Started process 161 to run task
[2024-07-01T02:41:09.064+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-30T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpmw6ygjkp']
[2024-07-01T02:41:09.070+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask get_votes_from_downloaded_bills
[2024-07-01T02:41:09.217+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [running]> on host 0344fe541aae
[2024-07-01T02:41:09.457+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-30T00:00:00+00:00'
[2024-07-01T02:41:09.621+0000] {get_data.py:98} INFO - Opened bill HJRES 127
[2024-07-01T02:41:09.623+0000] {get_data.py:98} INFO - Opened bill HJRES 133
[2024-07-01T02:41:09.625+0000] {get_data.py:98} INFO - Opened bill HJRES 15
[2024-07-01T02:41:09.626+0000] {get_data.py:98} INFO - Opened bill HJRES 29
[2024-07-01T02:41:09.628+0000] {get_data.py:98} INFO - Opened bill HJRES 28
[2024-07-01T02:41:09.629+0000] {get_data.py:98} INFO - Opened bill HJRES 14
[2024-07-01T02:41:09.631+0000] {get_data.py:98} INFO - Opened bill HJRES 132
[2024-07-01T02:41:09.632+0000] {get_data.py:98} INFO - Opened bill HJRES 126
[2024-07-01T02:41:09.633+0000] {get_data.py:98} INFO - Opened bill HJRES 130
[2024-07-01T02:41:09.634+0000] {get_data.py:98} INFO - Opened bill HJRES 124
[2024-07-01T02:41:09.635+0000] {get_data.py:98} INFO - Opened bill HJRES 118
[2024-07-01T02:41:09.637+0000] {get_data.py:98} INFO - Opened bill HJRES 16
[2024-07-01T02:41:09.638+0000] {get_data.py:98} INFO - Opened bill HJRES 17
[2024-07-01T02:41:09.639+0000] {get_data.py:98} INFO - Opened bill HJRES 119
[2024-07-01T02:41:09.639+0000] {get_data.py:98} INFO - Opened bill HJRES 125
[2024-07-01T02:41:09.640+0000] {get_data.py:98} INFO - Opened bill HJRES 131
[2024-07-01T02:41:09.643+0000] {get_data.py:98} INFO - Opened bill HJRES 109
[2024-07-01T02:41:10.749+0000] {get_data.py:98} INFO - Opened bill HJRES 135
[2024-07-01T02:41:10.750+0000] {get_data.py:98} INFO - Opened bill HJRES 121
[2024-07-01T02:41:10.750+0000] {get_data.py:98} INFO - Opened bill HJRES 13
[2024-07-01T02:41:10.751+0000] {get_data.py:98} INFO - Opened bill HJRES 12
[2024-07-01T02:41:10.751+0000] {get_data.py:98} INFO - Opened bill HJRES 120
[2024-07-01T02:41:10.751+0000] {get_data.py:98} INFO - Opened bill HJRES 134
[2024-07-01T02:41:10.752+0000] {get_data.py:98} INFO - Opened bill HJRES 108
[2024-07-01T02:41:10.752+0000] {get_data.py:98} INFO - Opened bill HJRES 122
[2024-07-01T02:41:10.752+0000] {get_data.py:98} INFO - Opened bill HJRES 136
[2024-07-01T02:41:10.753+0000] {get_data.py:98} INFO - Opened bill HJRES 38
[2024-07-01T02:41:10.753+0000] {get_data.py:98} INFO - Opened bill HJRES 10
[2024-07-01T02:41:10.753+0000] {get_data.py:98} INFO - Opened bill HJRES 11
[2024-07-01T02:41:10.753+0000] {get_data.py:98} INFO - Opened bill HJRES 39
[2024-07-01T02:41:11.972+0000] {get_data.py:98} INFO - Opened bill HJRES 137
[2024-07-01T02:41:11.973+0000] {get_data.py:98} INFO - Opened bill HJRES 123
[2024-07-01T02:41:11.974+0000] {get_data.py:98} INFO - Opened bill HJRES 144
[2024-07-01T02:41:11.974+0000] {get_data.py:98} INFO - Opened bill HJRES 150
[2024-07-01T02:41:11.975+0000] {get_data.py:98} INFO - Opened bill HJRES 7
[2024-07-01T02:41:12.788+0000] {get_data.py:98} INFO - Opened bill HJRES 89
[2024-07-01T02:41:12.792+0000] {get_data.py:98} INFO - Opened bill HJRES 62
[2024-07-01T02:41:12.795+0000] {get_data.py:98} INFO - Opened bill HJRES 76
[2024-07-01T02:41:12.799+0000] {get_data.py:98} INFO - Opened bill HJRES 77
[2024-07-01T02:41:12.803+0000] {get_data.py:98} INFO - Opened bill HJRES 63
[2024-07-01T02:41:12.805+0000] {get_data.py:98} INFO - Opened bill HJRES 88
[2024-07-01T02:41:13.312+0000] {get_data.py:98} INFO - Opened bill HJRES 6
[2024-07-01T02:41:13.314+0000] {get_data.py:98} INFO - Opened bill HJRES 151
[2024-07-01T02:41:13.315+0000] {get_data.py:98} INFO - Opened bill HJRES 145
[2024-07-01T02:41:13.315+0000] {get_data.py:98} INFO - Opened bill HJRES 153
[2024-07-01T02:41:13.316+0000] {get_data.py:98} INFO - Opened bill HJRES 147
[2024-07-01T02:41:13.317+0000] {get_data.py:98} INFO - Opened bill HJRES 4
[2024-07-01T02:41:13.318+0000] {get_data.py:98} INFO - Opened bill HJRES 75
[2024-07-01T02:41:13.319+0000] {get_data.py:98} INFO - Opened bill HJRES 61
[2024-07-01T02:41:13.320+0000] {get_data.py:98} INFO - Opened bill HJRES 49
[2024-07-01T02:41:13.321+0000] {get_data.py:98} INFO - Opened bill HJRES 48
[2024-07-01T02:41:13.321+0000] {get_data.py:98} INFO - Opened bill HJRES 60
[2024-07-01T02:41:13.322+0000] {get_data.py:98} INFO - Opened bill HJRES 74
[2024-07-01T02:41:14.032+0000] {get_data.py:98} INFO - Opened bill HJRES 5
[2024-07-01T02:41:14.032+0000] {get_data.py:98} INFO - Opened bill HJRES 146
[2024-07-01T02:41:14.033+0000] {get_data.py:98} INFO - Opened bill HJRES 152
[2024-07-01T02:41:14.033+0000] {get_data.py:98} INFO - Opened bill HJRES 1
[2024-07-01T02:41:14.033+0000] {get_data.py:98} INFO - Opened bill HJRES 156
[2024-07-01T02:41:14.033+0000] {get_data.py:98} INFO - Opened bill HJRES 142
[2024-07-01T02:41:14.034+0000] {get_data.py:98} INFO - Opened bill HJRES 58
[2024-07-01T02:41:14.034+0000] {get_data.py:98} INFO - Opened bill HJRES 70
[2024-07-01T02:41:14.518+0000] {get_data.py:98} INFO - Opened bill HJRES 64
[2024-07-01T02:41:14.519+0000] {get_data.py:98} INFO - Opened bill HJRES 65
[2024-07-01T02:41:14.519+0000] {get_data.py:98} INFO - Opened bill HJRES 71
[2024-07-01T02:41:14.982+0000] {get_data.py:98} INFO - Opened bill HJRES 59
[2024-07-01T02:41:14.983+0000] {get_data.py:98} INFO - Opened bill HJRES 143
[2024-07-01T02:41:14.984+0000] {get_data.py:98} INFO - Opened bill HJRES 157
[2024-07-01T02:41:14.985+0000] {get_data.py:98} INFO - Opened bill HJRES 169
[2024-07-01T02:41:14.986+0000] {get_data.py:98} INFO - Opened bill HJRES 2
[2024-07-01T02:41:14.986+0000] {get_data.py:98} INFO - Opened bill HJRES 141
[2024-07-01T02:41:14.987+0000] {get_data.py:98} INFO - Opened bill HJRES 155
[2024-07-01T02:41:14.988+0000] {get_data.py:98} INFO - Opened bill HJRES 98
[2024-07-01T02:41:16.204+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:41:16.409+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-07-01T02:41:16.410+0000] {get_data.py:98} INFO - Opened bill HJRES 67
[2024-07-01T02:41:16.410+0000] {get_data.py:98} INFO - Opened bill HJRES 73
[2024-07-01T02:41:16.411+0000] {get_data.py:98} INFO - Opened bill HJRES 72
[2024-07-01T02:41:16.411+0000] {get_data.py:98} INFO - Opened bill HJRES 66
[2024-07-01T02:41:16.412+0000] {get_data.py:98} INFO - Opened bill HJRES 99
[2024-07-01T02:41:16.412+0000] {get_data.py:98} INFO - Opened bill HJRES 154
[2024-07-01T02:41:16.412+0000] {get_data.py:98} INFO - Opened bill HJRES 140
[2024-07-01T02:41:16.413+0000] {get_data.py:98} INFO - Opened bill HJRES 3
[2024-07-01T02:41:16.413+0000] {get_data.py:98} INFO - Opened bill HJRES 168
[2024-07-01T02:41:16.413+0000] {get_data.py:98} INFO - Opened bill HJRES 165
[2024-07-01T02:41:16.414+0000] {get_data.py:98} INFO - Opened bill HJRES 171
[2024-07-01T02:41:16.414+0000] {get_data.py:98} INFO - Opened bill HJRES 159
[2024-07-01T02:41:16.414+0000] {get_data.py:98} INFO - Opened bill HJRES 80
[2024-07-01T02:41:16.415+0000] {get_data.py:98} INFO - Opened bill HJRES 94
[2024-07-01T02:41:16.415+0000] {get_data.py:98} INFO - Opened bill HJRES 43
[2024-07-01T02:41:16.416+0000] {get_data.py:98} INFO - Opened bill HJRES 57
[2024-07-01T02:41:16.416+0000] {get_data.py:98} INFO - Opened bill HJRES 56
[2024-07-01T02:41:16.416+0000] {get_data.py:98} INFO - Opened bill HJRES 42
[2024-07-01T02:41:17.728+0000] {get_data.py:98} INFO - Opened bill HJRES 95
[2024-07-01T02:41:17.729+0000] {get_data.py:98} INFO - Opened bill HJRES 81
[2024-07-01T02:41:17.730+0000] {get_data.py:98} INFO - Opened bill HJRES 158
[2024-07-01T02:41:17.730+0000] {get_data.py:98} INFO - Opened bill HJRES 170
