[2024-07-01T02:58:48.301+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:58:48.312+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:58:48.313+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-07-01T02:58:48.326+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-30 00:00:00+00:00
[2024-07-01T02:58:48.342+0000] {standard_task_runner.py:60} INFO - Started process 507 to run task
[2024-07-01T02:58:48.354+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-30T00:00:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpvzw_q9pg']
[2024-07-01T02:58:48.378+0000] {standard_task_runner.py:88} INFO - Job 33: Subtask get_votes_from_downloaded_bills
[2024-07-01T02:58:48.480+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-30T00:00:00+00:00 [running]> on host 0344fe541aae
[2024-07-01T02:58:48.598+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-30T00:00:00+00:00'
[2024-07-01T02:58:48.699+0000] {get_data.py:98} INFO - Opened bill HJRES 127
[2024-07-01T02:58:48.700+0000] {get_data.py:98} INFO - Opened bill HJRES 133
[2024-07-01T02:58:48.701+0000] {get_data.py:98} INFO - Opened bill HJRES 15
[2024-07-01T02:58:48.702+0000] {get_data.py:98} INFO - Opened bill HJRES 29
[2024-07-01T02:58:48.702+0000] {get_data.py:98} INFO - Opened bill HJRES 28
[2024-07-01T02:58:48.702+0000] {get_data.py:98} INFO - Opened bill HJRES 14
[2024-07-01T02:58:48.703+0000] {get_data.py:98} INFO - Opened bill HJRES 132
[2024-07-01T02:58:48.704+0000] {get_data.py:98} INFO - Opened bill HJRES 126
[2024-07-01T02:58:48.704+0000] {get_data.py:98} INFO - Opened bill HJRES 130
[2024-07-01T02:58:48.705+0000] {get_data.py:98} INFO - Opened bill HJRES 124
[2024-07-01T02:58:48.705+0000] {get_data.py:98} INFO - Opened bill HJRES 118
[2024-07-01T02:58:48.706+0000] {get_data.py:98} INFO - Opened bill HJRES 16
[2024-07-01T02:58:48.707+0000] {get_data.py:98} INFO - Opened bill HJRES 17
[2024-07-01T02:58:48.707+0000] {get_data.py:98} INFO - Opened bill HJRES 119
[2024-07-01T02:58:48.707+0000] {get_data.py:98} INFO - Opened bill HJRES 125
[2024-07-01T02:58:48.708+0000] {get_data.py:98} INFO - Opened bill HJRES 131
[2024-07-01T02:58:48.708+0000] {get_data.py:98} INFO - Opened bill HJRES 109
[2024-07-01T02:58:49.759+0000] {get_data.py:98} INFO - Opened bill HJRES 135
[2024-07-01T02:58:49.760+0000] {get_data.py:98} INFO - Opened bill HJRES 121
[2024-07-01T02:58:49.760+0000] {get_data.py:98} INFO - Opened bill HJRES 13
[2024-07-01T02:58:49.760+0000] {get_data.py:98} INFO - Opened bill HJRES 12
[2024-07-01T02:58:49.761+0000] {get_data.py:98} INFO - Opened bill HJRES 120
[2024-07-01T02:58:49.761+0000] {get_data.py:98} INFO - Opened bill HJRES 134
[2024-07-01T02:58:49.761+0000] {get_data.py:98} INFO - Opened bill HJRES 108
[2024-07-01T02:58:49.762+0000] {get_data.py:98} INFO - Opened bill HJRES 122
[2024-07-01T02:58:49.762+0000] {get_data.py:98} INFO - Opened bill HJRES 136
[2024-07-01T02:58:49.762+0000] {get_data.py:98} INFO - Opened bill HJRES 38
[2024-07-01T02:58:49.762+0000] {get_data.py:98} INFO - Opened bill HJRES 10
[2024-07-01T02:58:49.763+0000] {get_data.py:98} INFO - Opened bill HJRES 11
[2024-07-01T02:58:49.763+0000] {get_data.py:98} INFO - Opened bill HJRES 39
[2024-07-01T02:58:51.154+0000] {get_data.py:98} INFO - Opened bill HJRES 137
[2024-07-01T02:58:51.155+0000] {get_data.py:98} INFO - Opened bill HJRES 123
[2024-07-01T02:58:51.156+0000] {get_data.py:98} INFO - Opened bill HJRES 144
[2024-07-01T02:58:51.157+0000] {get_data.py:98} INFO - Opened bill HJRES 150
[2024-07-01T02:58:51.159+0000] {get_data.py:98} INFO - Opened bill HJRES 7
