[2024-07-01T02:41:09.016+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.033+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-30T00:00:00+00:00 [queued]>
[2024-07-01T02:41:09.035+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-07-01T02:41:09.063+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_bill_status_to_gcs> on 2024-06-30 00:00:00+00:00
[2024-07-01T02:41:09.073+0000] {standard_task_runner.py:60} INFO - Started process 163 to run task
[2024-07-01T02:41:09.081+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_bill_status_to_gcs', 'scheduled__2024-06-30T00:00:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpfeelgit1']
[2024-07-01T02:41:09.105+0000] {standard_task_runner.py:88} INFO - Job 9: Subtask upload_bill_status_to_gcs
[2024-07-01T02:41:09.240+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_bill_status_to_gcs scheduled__2024-06-30T00:00:00+00:00 [running]> on host 0344fe541aae
[2024-07-01T02:41:09.471+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_bill_status_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-06-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-30T00:00:00+00:00'
[2024-07-01T02:41:11.339+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hjres/hjresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hjres/hjresbill_status_0.json
[2024-07-01T02:41:11.905+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/sconres/sconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/sconres/sconresbill_status_0.json
[2024-07-01T02:41:12.546+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/hconres/hconresbill_status_0.json to gs://congress_data_testproject-420401/bill_status/hconres/hconresbill_status_0.json
[2024-07-01T02:41:13.161+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_16.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_16.json
[2024-07-01T02:41:13.792+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_3.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_3.json
[2024-07-01T02:41:14.461+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_2.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_2.json
[2024-07-01T02:41:15.057+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_17.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_17.json
[2024-07-01T02:41:15.689+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/bills/s/sbill_status_9.json to gs://congress_data_testproject-420401/bill_status/s/sbill_status_9.json
