Congressional Districts,Zip Code
1,95556
1,95568
1,95626
1,95645
1,95659
1,95668
1,95674
1,95676
1,95692
1,95837
1,95901
1,95903
1,95912
1,95913
1,95914
1,95916
1,95917
1,95920
1,95926
1,95928
1,95929
1,95930
1,95932
1,95938
1,95939
1,95941
1,95942
1,95943
1,95948
1,95950
1,95951
1,95953
1,95954
1,95955
1,95957
1,95958
1,95961
1,95963
1,95965
1,95966
1,95968
1,95969
1,95970
1,95973
1,95974
1,95977
1,95978
1,95979
1,95982
1,95987
1,95988
1,95991
1,95993
1,96001
1,96002
1,96003
1,96006
1,96007
1,96008
1,96009
1,96011
1,96013
1,96014
1,96015
1,96016
1,96017
1,96019
1,96021
1,96022
1,96023
1,96025
1,96027
1,96028
1,96029
1,96031
1,96032
1,96033
1,96034
1,96035
1,96037
1,96038
1,96039
1,96040
1,96044
1,96047
1,96050
1,96051
1,96054
1,96055
1,96056
1,96057
1,96058
1,96059
1,96061
1,96062
1,96063
1,96064
1,96065
1,96067
1,96068
1,96069
1,96071
1,96073
1,96074
1,96075
1,96076
1,96078
1,96080
1,96084
1,96085
1,96086
1,96087
1,96088
1,96090
1,96092
1,96094
1,96096
1,96097
1,96101
1,96104
1,96105
1,96108
1,96109
1,96110
1,96112
1,96113
1,96114
1,96115
1,96116
1,96117
1,96119
1,96121
1,96123
1,96128
1,96130
1,96132
1,96134
1,96136
1,96137
1,97635
2,94515
2,94574
2,94901
2,94903
2,94904
2,94920
2,94922
2,94923
2,94924
2,94925
2,94929
2,94930
2,94931
2,94933
2,94937
2,94938
2,94939
2,94940
2,94941
2,94945
2,94946
2,94947
2,94949
2,94950
2,94951
2,94952
2,94954
2,94956
2,94957
2,94960
2,94963
2,94964
2,94965
2,94970
2,94971
2,94972
2,94973
2,95401
2,95403
2,95404
2,95407
2,95409
2,95410
2,95412
2,95415
2,95417
2,95419
2,95420
2,95421
2,95425
2,95427
2,95428
2,95429
2,95430
2,95432
2,95436
2,95437
2,95439
2,95441
2,95444
2,95445
2,95446
2,95448
2,95449
2,95450
2,95454
2,95456
2,95459
2,95460
2,95462
2,95463
2,95465
2,95466
2,95468
2,95469
2,95470
2,95471
2,95472
2,95480
2,95482
2,95486
2,95488
2,95490
2,95492
2,95494
2,95497
2,95501
2,95503
2,95511
2,95514
2,95519
2,95521
2,95524
2,95525
2,95526
2,95527
2,95528
2,95531
2,95536
2,95537
2,95538
2,95540
2,95542
2,95543
2,95545
2,95546
2,95547
2,95548
2,95549
2,95550
2,95551
2,95552
2,95553
2,95554
2,95555
2,95556
2,95558
2,95559
2,95560
2,95562
2,95563
2,95564
2,95565
2,95567
2,95569
2,95570
2,95571
2,95573
2,95585
2,95587
2,95589
2,95595
2,96010
2,96024
2,96041
2,96046
2,96048
2,96052
2,96076
2,96091
2,96093
3,89010
3,89019
3,89060
3,89061
3,89439
3,92328
3,92384
3,92389
3,93512
3,93513
3,93514
3,93517
3,93522
3,93526
3,93527
3,93529
3,93530
3,93541
3,93545
3,93546
3,93549
3,95223
3,95602
3,95603
3,95604
3,95614
3,95626
3,95628
3,95630
3,95631
3,95633
3,95634
3,95635
3,95636
3,95646
3,95648
3,95650
3,95651
3,95658
3,95661
3,95662
3,95663
3,95664
3,95667
3,95668
3,95670
3,95671
3,95677
3,95678
3,95681
3,95683
3,95684
3,95701
3,95703
3,95709
3,95713
3,95714
3,95715
3,95717
3,95720
3,95721
3,95722
3,95726
3,95728
3,95735
3,95736
3,95742
3,95746
3,95747
3,95765
3,95901
3,95910
3,95914
3,95915
3,95918
3,95919
3,95922
3,95923
3,95925
3,95930
3,95934
3,95935
3,95936
3,95941
3,95944
3,95945
3,95946
3,95947
3,95949
3,95956
3,95959
3,95960
3,95962
3,95966
3,95971
3,95972
3,95975
3,95977
3,95981
3,95983
3,95984
3,95986
3,96020
3,96103
3,96105
3,96106
3,96107
3,96111
3,96118
3,96120
3,96122
3,96124
3,96125
3,96126
3,96129
3,96133
3,96135
3,96137
3,96140
3,96141
3,96142
3,96143
3,96145
3,96146
3,96148
3,96150
3,96155
3,96161
4,94503
4,94508
4,94512
4,94515
4,94533
4,94534
4,94558
4,94559
4,94562
4,94567
4,94571
4,94573
4,94574
4,94576
4,94585
4,94591
4,94599
4,94928
4,94931
4,94951
4,94952
4,94954
4,95401
4,95403
4,95404
4,95405
4,95407
4,95409
4,95422
4,95423
4,95426
4,95431
4,95435
4,95442
4,95443
4,95451
4,95452
4,95453
4,95457
4,95458
4,95461
4,95464
4,95467
4,95469
4,95472
4,95476
4,95485
4,95493
4,95606
4,95607
4,95612
4,95616
4,95618
4,95620
4,95625
4,95627
4,95637
4,95645
4,95653
4,95679
4,95687
4,95688
4,95690
4,95691
4,95694
4,95695
4,95697
4,95698
4,95776
4,95937
5,93601
5,93602
5,93604
5,93605
5,93610
5,93611
5,93614
5,93619
5,93621
5,93623
5,93626
5,93628
5,93634
5,93636
5,93638
5,93641
5,93643
5,93644
5,93645
5,93650
5,93653
5,93664
5,93667
5,93669
5,93704
5,93705
5,93710
5,93711
5,93720
5,93722
5,93730
5,95221
5,95222
5,95223
5,95224
5,95225
5,95226
5,95228
5,95230
5,95232
5,95233
5,95236
5,95245
5,95246
5,95247
5,95248
5,95249
5,95251
5,95252
5,95254
5,95255
5,95257
5,95305
5,95306
5,95307
5,95309
5,95310
5,95311
5,95316
5,95318
5,95319
5,95321
5,95323
5,95325
5,95326
5,95327
5,95329
5,95335
5,95338
5,95345
5,95346
5,95350
5,95351
5,95354
5,95355
5,95356
5,95357
5,95358
5,95361
5,95364
5,95367
5,95368
5,95369
5,95370
5,95372
5,95375
5,95379
5,95380
5,95382
5,95383
5,95386
5,95389
5,95601
5,95613
5,95619
5,95623
5,95629
5,95630
5,95633
5,95640
5,95642
5,95646
5,95651
5,95664
5,95665
5,95666
5,95667
5,95669
5,95672
5,95675
5,95682
5,95684
5,95685
5,95689
5,95699
5,95709
5,95762
6,95608
6,95610
6,95621
6,95626
6,95628
6,95652
6,95655
6,95660
6,95670
6,95673
6,95678
6,95683
6,95742
6,95815
6,95821
6,95825
6,95826
6,95827
6,95833
6,95834
6,95835
6,95837
6,95838
6,95841
6,95842
6,95843
6,95864
7,94571
7,95605
7,95612
7,95615
7,95620
7,95624
7,95632
7,95638
7,95639
7,95640
7,95641
7,95680
7,95683
7,95690
7,95691
7,95693
7,95757
7,95758
7,95811
7,95814
7,95816
7,95817
7,95818
7,95819
7,95820
7,95822
7,95823
7,95824
7,95825
7,95826
7,95827
7,95828
7,95829
7,95830
7,95831
7,95832
7,95864
8,94503
8,94509
8,94510
8,94512
8,94520
8,94525
8,94530
8,94533
8,94534
8,94535
8,94547
8,94553
8,94561
8,94563
8,94564
8,94565
8,94569
8,94572
8,94585
8,94589
8,94590
8,94591
8,94592
8,94706
8,94707
8,94708
8,94801
8,94803
8,94804
8,94805
8,94806
8,95620
8,95625
8,95687
9,94505
9,94513
9,94514
9,95202
9,95203
9,95204
9,95205
9,95206
9,95207
9,95209
9,95210
9,95211
9,95212
9,95215
9,95219
9,95220
9,95227
9,95230
9,95231
9,95236
9,95237
9,95240
9,95242
9,95253
9,95258
9,95304
9,95320
9,95330
9,95336
9,95337
9,95361
9,95366
9,95376
9,95377
9,95391
9,95632
9,95641
9,95686
10,94505
10,94506
10,94507
10,94509
10,94511
10,94513
10,94514
10,94516
10,94517
10,94518
10,94519
10,94520
10,94521
10,94523
10,94526
10,94528
10,94531
10,94548
10,94549
10,94551
10,94553
10,94556
10,94561
10,94563
10,94565
10,94568
10,94575
10,94582
10,94583
10,94588
10,94595
10,94596
10,94597
10,94598
10,94611
10,94619
10,95219
11,94102
11,94103
11,94104
11,94105
11,94107
11,94108
11,94109
11,94110
11,94111
11,94112
11,94114
11,94115
11,94116
11,94117
11,94118
11,94121
11,94122
11,94123
11,94124
11,94127
11,94129
11,94130
11,94131
11,94132
11,94133
11,94134
11,94158
11,94188
12,94501
12,94502
12,94577
12,94578
12,94579
12,94601
12,94602
12,94603
12,94605
12,94606
12,94607
12,94608
12,94609
12,94610
12,94611
12,94612
12,94613
12,94618
12,94619
12,94621
12,94702
12,94703
12,94704
12,94705
12,94706
12,94707
12,94708
12,94709
12,94710
12,94720
13,93210
13,93234
13,93242
13,93606
13,93608
13,93609
13,93610
13,93620
13,93622
13,93624
13,93627
13,93630
13,93631
13,93635
13,93636
13,93637
13,93638
13,93640
13,93652
13,93656
13,93660
13,93662
13,93665
13,93668
13,93706
13,93723
13,93725
13,95231
13,95301
13,95303
13,95304
13,95307
13,95312
13,95313
13,95315
13,95316
13,95317
13,95319
13,95322
13,95324
13,95326
13,95328
13,95330
13,95333
13,95334
13,95337
13,95340
13,95341
13,95348
13,95351
13,95354
13,95357
13,95358
13,95360
13,95363
13,95365
13,95366
13,95369
13,95374
13,95377
13,95380
13,95382
13,95385
13,95387
13,95388
14,94505
14,94514
14,94536
14,94538
14,94539
14,94541
14,94542
14,94544
14,94545
14,94546
14,94550
14,94551
14,94552
14,94555
14,94566
14,94568
14,94577
14,94578
14,94579
14,94580
14,94586
14,94587
14,94588
14,94602
14,94619
14,95377
14,95391
15,94002
15,94005
15,94010
15,94014
15,94015
15,94025
15,94027
15,94030
15,94044
15,94061
15,94062
15,94063
15,94065
15,94066
15,94070
15,94080
15,94112
15,94124
15,94128
15,94132
15,94134
15,94303
15,94401
15,94402
15,94403
15,94404
16,94010
16,94018
16,94019
16,94020
16,94021
16,94022
16,94024
16,94025
16,94027
16,94028
16,94037
16,94038
16,94040
16,94041
16,94043
16,94044
16,94060
16,94061
16,94062
16,94063
16,94070
16,94074
16,94085
16,94301
16,94303
16,94304
16,94305
16,94306
16,94402
16,95008
16,95014
16,95030
16,95032
16,95033
16,95070
16,95110
16,95111
16,95112
16,95117
16,95118
16,95120
16,95121
16,95122
16,95123
16,95124
16,95125
16,95126
16,95128
16,95129
16,95130
16,95136
17,94024
17,94043
17,94085
17,94086
17,94087
17,94089
17,94536
17,94538
17,94539
17,94555
17,94560
17,95002
17,95014
17,95035
17,95050
17,95051
17,95053
17,95054
17,95070
17,95110
17,95112
17,95116
17,95117
17,95126
17,95127
17,95128
17,95129
17,95130
17,95131
17,95132
17,95133
17,95134
18,93210
18,93426
18,93450
18,93451
18,93901
18,93905
18,93906
18,93907
18,93908
18,93924
18,93925
18,93926
18,93927
18,93928
18,93930
18,93932
18,93954
18,93960
18,94550
18,95004
18,95012
18,95013
18,95019
18,95020
18,95023
18,95035
18,95037
18,95043
18,95045
18,95046
18,95075
18,95076
18,95110
18,95112
18,95113
18,95116
18,95122
18,95125
18,95126
18,95127
18,95128
18,95132
18,95135
18,95138
18,95140
18,95148
19,93422
19,93426
19,93428
19,93430
19,93432
19,93446
19,93451
19,93452
19,93453
19,93461
19,93465
19,93901
19,93907
19,93908
19,93920
19,93921
19,93923
19,93924
19,93933
19,93940
19,93943
19,93944
19,93950
19,93953
19,93955
19,93962
19,95003
19,95005
19,95006
19,95007
19,95010
19,95012
19,95013
19,95017
19,95018
19,95020
19,95032
19,95033
19,95037
19,95039
19,95041
19,95046
19,95060
19,95062
19,95064
19,95065
19,95066
19,95073
19,95076
19,95111
19,95118
19,95119
19,95120
19,95121
19,95122
19,95123
19,95135
19,95136
19,95138
19,95139
19,95148
20,93203
20,93205
20,93206
20,93207
20,93208
20,93220
20,93221
20,93222
20,93224
20,93225
20,93226
20,93230
20,93237
20,93238
20,93240
20,93242
20,93243
20,93244
20,93245
20,93246
20,93247
20,93251
20,93252
20,93255
20,93257
20,93260
20,93262
20,93265
20,93267
20,93268
20,93271
20,93274
20,93276
20,93277
20,93283
20,93285
20,93286
20,93287
20,93291
20,93292
20,93301
20,93304
20,93306
20,93307
20,93308
20,93309
20,93311
20,93312
20,93313
20,93314
20,93501
20,93516
20,93518
20,93519
20,93523
20,93524
20,93527
20,93531
20,93536
20,93554
20,93555
20,93560
20,93561
20,93581
20,93602
20,93603
20,93611
20,93612
20,93616
20,93619
20,93621
20,93626
20,93631
20,93633
20,93641
20,93646
20,93647
20,93651
20,93654
20,93656
20,93657
20,93667
20,93675
20,93710
20,93725
20,93726
20,93727
20,93737
20,93740
21,93221
21,93223
21,93227
21,93230
21,93235
21,93244
21,93277
21,93286
21,93291
21,93292
21,93603
21,93615
21,93616
21,93618
21,93625
21,93631
21,93646
21,93647
21,93648
21,93654
21,93657
21,93662
21,93666
21,93670
21,93673
21,93701
21,93702
21,93703
21,93704
21,93705
21,93706
21,93710
21,93711
21,93721
21,93722
21,93723
21,93725
21,93726
21,93727
21,93728
21,93741
22,93201
22,93202
22,93203
22,93204
22,93206
22,93212
22,93215
22,93218
22,93219
22,93220
22,93230
22,93239
22,93241
22,93245
22,93247
22,93249
22,93250
22,93251
22,93256
22,93257
22,93258
22,93261
22,93263
22,93266
22,93267
22,93270
22,93272
22,93274
22,93277
22,93280
22,93287
22,93301
22,93304
22,93305
22,93306
22,93307
22,93308
22,93309
22,93313
22,93314
22,93461
23,89019
23,92252
23,92256
23,92268
23,92277
23,92278
23,92284
23,92285
23,92301
23,92304
23,92305
23,92307
23,92308
23,92309
23,92310
23,92311
23,92314
23,92315
23,92317
23,92320
23,92321
23,92322
23,92324
23,92325
23,92327
23,92332
23,92333
23,92338
23,92339
23,92341
23,92342
23,92344
23,92345
23,92346
23,92347
23,92350
23,92352
23,92354
23,92356
23,92359
23,92364
23,92365
23,92368
23,92371
23,92372
23,92373
23,92374
23,92378
23,92382
23,92385
23,92386
23,92391
